spraaklocatie	het	is	stil	op	de	straat	maar	dan	ineens	klinkt	bij	een	van	de		huizen	het	gerinkel	van	glas	een	vrouw	stapt	ontdaan	naar	buiten	he	dat	is	nou	ook	toevallig	daar	loopt	juist	de	glaszetter	de	mevrouw	vraagt	of	hij	de	ruit	wil	repareren	maar	in	een	korte	tijd	sneuvelen	er	in	de	straat	heel	veel		ruiten	de	politieagent	let	nu	extra	goed	op	als	hij	door	de	straten	loopt	maar	dan	ziet	hij	op	de	hoek	van	de	straat	een	klein	jongetje	staan	het	jongetje	wil	net	met	een	steen	gooien	even	later	ziet	de	politieagent	het	jongetje	samen	met	de	glaszetter	lopen	de	agent	besluit	om	ze	beiden	aan	te	houden	maar	het	lukt	hem	niet	om	ze	te	pakken	te	krijgen
NL Standaard Nederlands	ət	ɪs	stɪl	ɔp		straːt / stʀaːt	mɑ	dan	ɪnɪins	klɪŋkt	bɛi	ein	fɑn	də	hœys	hœyzə	ət	xərɪŋkəl / xəʀɪŋkəl	fɑn	xlɑs	ən	frɑu / fʀɑu	stɑpt	ɔndaːn	naː	bœytə	hei	dɑ	s	nɑu	ouk	tufɑləx	daː	loupt	jœyst	də	xlɑsɛtər / xlɑsɛtəʀ	də	məfrɑu / məfʀɑu	fraːxt / fʀaːxt	ɔf	hɛi	də	rœyt / ʀœyt	ʋʏl	rəparɪːrə / rəpaʀɪːʀə	maːr / maːʀ	ɪn		kɒrtə / kɒʀtə	tɛit	snøːfələ	ɛr / ɛʀ	ɪn	də	straːt / stʀaːt	hɪːl	fɪːl		rœytə / ʀœytə	də	pʊlitsiaxɛnt	lɛt	ny	ɛkstra	xut	ɔp	ɑls	i	dʊːr / dʊːʀ	də	straːtə / stʀaːtə	loupt	mɑr / mɑʀ	dan	sit	i	ɔp	də	huk	fɑn	də	straːt / stʀaːt	ən	klɛin	jɔŋəcə		ət	jɔŋəcə	ʋʏl	nɛt		ən	stein	xoiə	eifə	laːtər / laːtəʀ	sit	də	pʊlitsiaxɛnt	ət	jɔŋəcə	saːmə	mɛt	də	xlɑsɛtər / xlɑsɛtəʀ	loupə	də	axɛnt	bəslœyt	ɔm		bɛidə	aːn	tə	hɑudə	mɑr / mɑʀ	ət	lʏkt	əm	nit		sə	tə	pɑkə	tə	krɛixə / kʀɛixə
BE Standaard Nederlands	ət	ɪs	stɪl	ɔp		strɑːt	mɑr	dɑn	ɪnɪːns	klɪŋk	bɛi	eːn	fɑn	də	hœys	hœyzə	ət	çərɪŋkəl	fɑ	çlʌs	ə	frɑu	stɑpt	ɔndɑːn	nɑr	bœytə	heː	dɑ	s	nɑu	oːk	tufɑləç	daː	loːp	jœyst	də	çlʌsætər	də	məfrɑu	frɑːçt	ɔf	hɛi	də	rœyt	wɪl	repɑrɪːrə	mɑr	ɪn		kɒrtə	tɛit	snøːfələ	ər	ɪn	də	strɑːt	hɪːl	fɪːl		rœytə	də	pʊlisiɑçænt	læt	ny	ɛkstrɑ	çut	ɔp	ɑls	hɛ	dʊːr	də	strɑːtə	loupt	mɑr	dɑn	siːt	hɛi	ɔp	də	huk	fɑn	də	strɑːt	ən	klɛin	jɔŋəcə		t	jɔŋəcə	wʏl	næt		ə	steːn	çoiə	eːfə	lɑːtər	ziːt	də	pʊlisiɑçænt	ət	jɔŋəcə	sɑːmə	mæd	də	çlʌsætər	loupə	də	ɑçænt	bəslœyt	ɔm		bɛidə	ɑːn	tə	hɑudə	mɑr	ət	lʏkt	əm	nit		sə	tə	pɑkə	tə	krɛiçə
Appelscha	hɛd	ɪs	stɪlə	ɔp		strʌːtə			ɪneːnn		bɛi	eːn	fan	də		hysn	hɛt	laʋaːi	fan	xlas	ə	frau	loup	fəbɑuʋərɪːt	nʌ	bytn							dʌː		krɛkt	də	xlasɛtər		frau	frʌːxt	ɒf	i	də	ryt		maːkŋ		ɪn				xʌːnkəpʌt	ɛr	ɪn	də	strʌːtə			ryt	rytn	də	plisi		nɑu		xut		as	i	dʏːr			loupt			sit	i	ɔp	də	hukə	fan	də	strʌːtə	ə		jɒxi	stʌːn			ʋɛl	krɛkt		ən	stiːnə	xʊin	eibmpis	læːtər	sit	də	plisi	hɛt	jɔxi		mɛt	də	xlasɛtər	loupm	də	plisi	ʋɪl		sə	ɑlətʋei	ɑn		hɒln	mar	ət	lɒkt	hɛm	nit		sə	tə			kriɡŋ
Axel	t	ɪs	stɪl	ɪn		strʌːtə	mʌ	dɑn	ɪneːns		bi	ɪːn	fɑn	d		ysn				hlɑːs	ə	frɑuə	kɔm		nɑ	bytn		dɑ	z	nɑu	oːk		də	loːpt	nɛt	də	χlaːsætər	də	frɑuə	frɒːχt	ɒf	ti				mɒːkŋ	mʌr	ɛn		kɒrtn	tit	χɒːnkɑpɒt	dər						rytə	rytn	də	pəlisi	læt	nɒu		χut	ɔp	ɑt	i	dʏːr			loːpt		dɑ	ziːt	i	ɔp		uk	fɑn	də	strʌːtə	ən	klɛin	fɛncə				wɪl	næt		ə	stɪːn	χʊiən	eifə	lʌːtər	ziːt	də	pəlisi		fɛncə	sʌːmm	met		χlaːsætər	loːpm	də	pəlisi	wɪl		zə	ɑləbæi			pɑkŋ	mʌ		lœkt	əm	nɪ						
Budel	t	ɪs	stɪl	ɔp		stʀɒːt		dɑn	ɪnɛns		bi	eːn	fɑn	də		huːzə		çəʀɪŋkəl		çlɒːs	ən	fʀɒu	lʏbd		nə	butə	hei	da	s	nə	oːk	tufɑləç	də	lœpt	jyst		çlɒːsætəʀ	də	fʀɒu	fʀœçt	ɒf	hɛi	də	ʀuːt	wɪl	mɑːkə	mɑʀ	ɪn		kɒʀtə	tiːt	snøfəln	əʀ	ɪn	də	stʀɒːt	hiːl	føːl	ʀut	ʀuːtn	də	plisi	lɛt	nɒu		çu	ɔp	ɑz	ɪ	dʏːʀ			lœpt	mɑ	dɑn	zɪt	hei	ɔp	də	huk	fɑn	də	stʀɒːt							wɪl	næ		nə	kæi	çɒiə	ɛfə	lɒːtəʀ	sɪt	də	plisi	ət	mænəkə		mæt	də	çlɒːsætəʀ	lɯːpə	də	plisi	bəʃlut	œm	zə	ʌləbæi	ɒː̃n	tə	hauə	mɑʀ	hət	lœkt	əm	nɪːt		sə	tə	pɑkə	tə	kʀiɡə
Deerlijk	t	ɛs	stɛl	ɔp		strʌːtə	mər		ɔmənəkɪr	klɪŋkt		eːn	fɑn	d	œs	œizn		rɪŋkəln	fɑn	hlɐs	ə	frəuə	kɔm	fəsχoːtn		bœitn	ɛ	dɑ	mũ	ny		lœkŋ		lœpt	ʒyst		hɐːzəmɒkərə		frəuə	frɑːht	ɒfdɑt	i		rʏtə		fəmɒːkŋ	mər	ɛn	ə	kɒrtn	teit	brɪːkŋ	də	ɛn	də	strʌːtə	vrut	fɪːl		rœːtn	də	pəlisi	læt	nə			œp	ɑt	i	dʏːr	də	strʌːtn	lœpt	mʌ	tɯn	zit	i	œp		ɯk	fɑn	də	strʌːtə	ə	klɛn	fɪncə		t	jɑuncə	wɪl	ʃystə		nə	stɪːn	smæitn	əbeitsə	dərɑxtər	zit		pəlisiɐçænt		fɪncə	tʏpə	mɪt	də	χlɐːzəmʌːkər	lœpm	d	aχæː̃t			z	ɒlətwə			pɑkŋ	mæ				ni		sə				krɛin
Den Burg	ət	ɪs	stɪl	ɔp		strɪːt	mʌ	danʲ	ɪniːnə		bei	iːn	fɑnʲ	də	hys	hyzə	ət	xərɪŋkəl	fɑ	xlɔəs	ən	frɑu	kɔmt	fəsxɪft	nɑ	bytə							dɪːr	loːp	krɛk	də	xlɑːzəmɑːkər	də	frɑu	fraːxt	ɒf	i		xlɔs	wɪl		mʌ					xɑːntəbɒrst	ər	ɪn	də	strɪːt			ryt	rɑːmə	də	pəlisi		nɑu		xut	ɔp	ʌz	i				loːpt			sit	i	ɔp	də	huk	fɑnʲ	də	strɪːt	ən	klɛin	jɒxi		ət	kɪrəlcə	wɪl	nɛt		ən	stiːn	xʊiə	ənhɒrcə	lɑːtər	sit	də	pəlisi		jɒxi	saːmpis	mɪt	də	xlɑːzəmɑːkər	loːpə	də	pəlisi	wɪl		sə	bɛiə			xripə	mʌːr						sə				
Dendermonde	t	ɪs	stɪləkəs	ɔp		strʊːt			ineːnekir			iːn	fɑn	d	ɔz	ɔːzə		lɑwɑit		çlɑs	ən	frɑː	kɔm	ʊː̃hədoːn		bɒœtə	hei	dɑ	mũ			likə		pɑsɪːrt					frɑː	frʊçt	ɒf	hɑi		fɛ̃ĩstər		rəparɪːrə								ɪn	də	strʊːt				fɛ̃ĩstərs		pɒliʃəmɑn	kɪkt			çuːt	ɒət									sit	m	ɔp				də	strʊːt							mɒktɑvɑns			nə	steːn	smætn	ətæːcə	nɐdi	sit		pɒliʃəmɑn			təsʊːmm	mɛt		rəɒtəmɔːkər						zə		ʊːn		hɑːə	mɒr				ni		zə	tə	pɑkə		kræχə
Didam	ət	ɪs	stɪl	ɔp		strɔːt	mɒr	dɑn	inɛns	klɪŋk	bei	eːn	fɑn	də	hys	hyːzə	ət	çərɪŋkəl	fɑn	çlɑs	ə	frɑu	kʏmp	fəsçrɪk	nə	bytə	hɛ	dɑ	z	nə	oːk	tufɑləç	dʊː	lʏp	krɛk	də		də	frɑu	frʏç	ɒf	heː	də	rut	ʋɪl	maːkə	mɒr	ɪn		kɒrtə	tit	snøfələ	dər	ɪn	də	strɒːt	hɪːl	fœːl	rut	rutə	də	plitsi	kik	nɒu	ɛkstra	çut	yt	ɑt	ə				lʏp	mɒr	dɑn	zʏt	ə	ɔp	də	huk	fɑn	də	strɒːt	ə	klɛin	jʏŋskə		hət	jʏŋskə	ʋɪl	nɛt		ən	kɛi	çʊiə	ɛfkəs	laːtər	sʏt	də	plitsi	ət	jʏŋskə	saːmə	mɛt	də		loːpə	də	plitsi	bəslyt	ʏm	zə	ɑləbɛi	aːn	tə	hɒldə	mʌr	hət	lʏk	əm	niːt	œm	zə	tə	pɑkə	tə	kriːçə
Diepenbeek	t	ɪs	stɪl	ɔp		stʀoːdə			ɔpɛns		bɛ	ein	fɑn	də	hɔuz	hœys		ʀiŋkələn	fɑn	çlɒːs	ɛn	fʀəu	kʏmp	hiləçɑnzʏfəʀətuːʀ	nə	bɔːtə								kʏmt			çlɑːzəmɑːkəʀ	də	fʀəu	fʀʏç						mʌːkə	mɑ						ə	ɛn	də	stʀʊːt	hiːl	føːl		ʀʌːtə	də	pəlis	læt	nɒu	ækstʀə	çut	ɔp	ɑs	ə	dʏːʀ			lœpt	mɑ	dɑn	ziːt	əʀ	ɔp	dən	huk	fɑn	də	stʀʊːt	ə		mænəkə				wɪlt	ʒyst		ənə	steːn	çuiə	əbitʃə	lʌːtəʀ	ziːt	də	pəlis	ət	mænəkə	bədeːn			çlɑːzəmɑːkəʀ	loupə	də	pəlis	wil		sə	ɑləbæː	ʌː̃		haːɡə	mɑ				nɪ		zə				kʁɛeçə
