	ɑ	l	s	a	t	z	ɾ	ə	b	ɛ	i	e	œ	y	ʔ	n	u	d	ʊ	r	o	x	g	æ	ɣ	ɔ	m	h	ɪ	k	ŋ	j	ʏ	ø	ɒ	ʋ	w	p	f	v	ʃ	-
ɑ	0	0.98363	0.987191	0.0201907	0.990546	0.983781	0.967412	0.992187	0.0319335	0.0294351	0.036812	0.030166	0.0314563	0.985982	0.983893	0.98753	0.98653	0.986168	0.964118	0.986976	0.988882	0.986386	0.984641	0.025375	0.977399	0.0208548	0.978443	0.983386	0.0272262	0.983478	0.978122	0.98133	0.0308099	0.0259755	0.963631	0.973992	0.9704	0.978813	0.978462	0.977864	0.977623	0.0461203
l	0.98363	0	0.9844	0.986679	0.987756	0.98099	0.964622	0.989397	0.0291431	0.987871	0.98636	0.981396	0.982376	0.983192	0.981102	0.984739	0.98374	0.0201143	0.961328	0.0167898	0.986091	0.983596	0.98185	0.96938	0.974608	0.985594	0.975652	0.980595	0.984723	0.980688	0.975332	0.978539	0.980858	0.966159	0.96084	0.971201	0.96761	0.976023	0.975672	0.975073	0.974832	0.0311249
s	0.987191	0.9844	0	0.990239	0.0293988	0.0149305	0.0166387	0.992957	0.0327034	0.991432	0.98992	0.984957	0.985936	0.986752	0.031872	0.0254706	0.9873	0.0422667	0.964888	0.987746	0.989652	0.987156	0.0288885	0.972941	0.978169	0.989155	0.979213	0.0493016	0.988283	0.0232146	0.978892	0.0317288	0.984418	0.969719	0.964401	0.0200391	0.97117	0.979583	0.979232	0.978633	0.0164365	0.0333647
a	0.0201907	0.986679	0.990239	0	0.993595	0.98683	0.970461	0.995236	0.0349824	0.0245897	0.0442776	0.0260636	0.0269172	0.989031	0.986941	0.990579	0.989579	0.989217	0.967167	0.990025	0.991931	0.989435	0.987689	0.019795	0.980448	0.0229559	0.981492	0.986435	0.0316545	0.986527	0.981171	0.984379	0.0376497	0.971998	0.96668	0.977041	0.973449	0.981862	0.981511	0.980913	0.980672	0.0328254
t	0.990546	0.987756	0.0293988	0.993595	0	0.0299903	0.0271126	0.996312	0.0360589	0.994787	0.993276	0.988312	0.989292	0.990108	0.0210024	0.0428136	0.990656	0.0188829	0.968244	0.991102	0.993007	0.0258244	0.0408443	0.976296	0.981524	0.99251	0.982568	0.987511	0.991638	0.0298289	0.982248	0.985455	0.987774	0.973074	0.967756	0.978117	0.974526	0.982938	0.028134	0.981989	0.981748	0.0286606
z	0.983781	0.98099	0.0149305	0.98683	0.0299903	0	0.0163694	0.989547	0.0292935	0.988022	0.98651	0.981547	0.982526	0.983342	0.981252	0.98489	0.98389	0.983528	0.961478	0.984336	0.986242	0.983746	0.982001	0.969531	0.974759	0.985745	0.975803	0.0514341	0.984873	0.980838	0.975482	0.97869	0.981008	0.966309	0.960991	0.971352	0.96776	0.976173	0.975822	0.975224	0.0147507	0.994899
ɾ	0.967412	0.964622	0.0166387	0.970461	0.0271126	0.0163694	0	0.973178	0.0129248	0.971653	0.970142	0.965178	0.966158	0.966974	0.964884	0.968521	0.967522	0.967159	0.94511	0.967968	0.969873	0.967377	0.965632	0.953162	0.95839	0.969376	0.959434	0.964377	0.968504	0.964469	0.959114	0.962321	0.96464	0.94994	0.944622	0.954983	0.951392	0.959804	0.959453	0.958855	0.958614	0.97853
ə	0.992187	0.989397	0.992957	0.995236	0.996312	0.989547	0.973178	0	0.0377	0.0339177	0.0296304	0.0365314	0.990933	0.0624372	0.989659	0.993296	0.992297	0.991934	0.969885	0.992743	0.0385568	0.992153	0.990407	0.977937	0.983165	0.994151	0.984209	0.989152	0.0416752	0.989245	0.983889	0.987096	0.0396185	0.974715	0.969397	0.979758	0.976167	0.98458	0.984229	0.98363	0.983389	0.0247377
b	0.0319335	0.0291431	0.0327034	0.0349824	0.0360589	0.0292935	0.0129248	0.0377	0	0.0361745	0.0346632	0.0296997	0.0306794	0.0314951	0.0294054	0.0330426	0.0320432	0.0316806	0.00963113	0.0324892	0.0343946	0.031899	0.0301534	0.0176838	0.0229117	0.0338975	0.0239556	0.0288985	0.0330259	0.0289909	0.0236352	0.0268428	0.0291611	0.0144618	0.00914365	0.0195047	0.0159132	0.0243259	0.023975	0.0233765	0.0231357	0.0430518
ɛ	0.0294351	0.987871	0.991432	0.0245897	0.994787	0.988022	0.971653	0.0339177	0.0361745	0	0.028975	0.0330892	0.0368633	0.0250967	0.988134	0.991771	0.990771	0.990409	0.968359	0.991217	0.0284629	0.990627	0.988882	0.0241798	0.98164	0.0316774	0.982684	0.987627	0.0265902	0.987719	0.982363	0.985571	0.0319243	0.038336	0.967872	0.978233	0.974641	0.983054	0.982703	0.982105	0.981864	0.0294876
