	ʔ	ɔ	r	d	e	ɛ	ə	a	j	ɑ	i	æ	t	ʀ	ɾ	x	ɦ	n	z	o	œ	u	ɣ	s	w	f	ŋ	ɵ	m	ʃ	ø	ʊ	p	l	b	v	ɪ	ʏ	k	y	ɡ	ʒ	ɱ	ɲ	ʋ	ʉ	h	ɟ	-
ʔ	0	0.984925	0.0419577	0.0323561	0.984468	0.984736	0.990356	0.983073	0.0361541	0.983801	0.984878	0.980253	0.018231	0.0488424	0.0448734	0.0264931	0.0219101	0.0400013	0.0466081	0.982246	0.980118	0.982818	0.0325092	0.0498427	0.0361919	0.979182	0.979101	0.976766	0.977814	0.044143	0.978949	0.976355	0.00977582	0.0449358	0.0340301	0.0460041	0.974846	0.97168	0.0115348	0.980039	0.0359525	0.963133	0.965848	0.965563	0.97046	0.964304	0.967579	0.947381	0.023306
ɔ	0.984925	0	0.992144	0.987486	0.0281356	0.0256348	0.0303442	0.0181383	0.0389784	0.0192415	0.0306978	0.0245223	0.987227	0.987993	0.98627	0.988563	0.988259	0.99457	0.98548	0.0160117	0.0193147	0.0220113	0.988049	0.989192	0.0432032	0.986823	0.986742	0.02049	0.985456	0.982071	0.0232194	0.0157041	0.979169	0.98241	0.979771	0.987852	0.027206	0.0209922	0.985524	0.0243252	0.972371	0.970774	0.97349	0.973205	0.0449394	0.025174	0.97522	0.955023	0.0380718
r	0.0419577	0.992144	0	0.0251383	0.991687	0.991954	0.997574	0.990292	0.0313748	0.99102	0.992096	0.987471	0.0257747	0.0115888	0.0116061	0.0260341	0.0440865	0.0313907	0.0335164	0.989464	0.987337	0.990037	0.0338333	0.0342925	0.0482462	0.0535895	0.0380093	0.983985	0.033972	0.0411289	0.986167	0.983573	0.0410364	0.0239363	0.0293794	0.0504236	0.982065	0.978899	0.0389046	0.987257	0.0292467	0.0443397	0.0404149	0.0484743	0.977678	0.971522	0.974797	0.0442937	0.0261548
d	0.0323561	0.987486	0.0251383	0	0.987029	0.987297	0.992917	0.985634	0.0167649	0.986362	0.987439	0.982814	0.0128707	0.0312923	0.0287789	0.0399424	0.983178	0.0322278	0.0348027	0.984806	0.982679	0.985379	0.0316252	0.0301551	0.0241261	0.0343376	0.0461832	0.979327	0.0283867	0.0339034	0.98151	0.978916	0.0315366	0.0196874	0.0331124	0.0341461	0.977407	0.974241	0.0328758	0.9826	0.037554	0.0219904	0.0462531	0.041717	0.0252421	0.966865	0.0374876	0.00663955	0.0238035
e	0.984468	0.0281356	0.991687	0.987029	0	0.0166524	0.0286093	0.0270999	0.0335374	0.0266106	0.0168672	0.0219429	0.98677	0.987536	0.985813	0.988106	0.987802	0.994113	0.985023	0.0289921	0.0268788	0.0327872	0.987592	0.988735	0.0415094	0.986366	0.986286	0.0229756	0.984999	0.981614	0.021788	0.0291988	0.978712	0.981953	0.979314	0.987395	0.0196181	0.0298881	0.985067	0.0285821	0.971914	0.970318	0.973033	0.972748	0.977644	0.0353847	0.974764	0.954566	0.0332083
ɛ	0.984736	0.0256348	0.991954	0.987297	0.0166524	0	0.0353191	0.0215798	0.0421221	0.0209963	0.021832	0.0147186	0.987038	0.987803	0.98608	0.988374	0.988069	0.99438	0.985291	0.0295298	0.0243444	0.0360674	0.987859	0.989003	0.051416	0.986634	0.986553	0.0258488	0.985267	0.981881	0.0287933	0.0277237	0.978979	0.98222	0.979581	0.987662	0.0191768	0.0216077	0.985335	0.03047	0.972182	0.970585	0.973301	0.973015	0.977912	0.0405258	0.975031	0.954834	0.0326713
ə	0.990356	0.0303442	0.997574	0.992917	0.0286093	0.0353191	0	0.0397499	0.0351164	0.0365742	0.0287765	0.0381854	0.992658	0.993423	0.9917	0.993994	0.993689	1	0.990911	0.0382928	0.0373042	0.031846	0.993479	0.994623	0.038485	0.992254	0.992173	0.0255101	0.990887	0.987501	0.0378972	0.0321024	0.984599	0.98784	0.985201	0.993282	0.0296884	0.0342025	0.990955	0.0345844	0.977802	0.976205	0.978921	0.978635	0.0518894	0.0450003	0.980651	0.960454	0.0209938
a	0.983073	0.0181383	0.990292	0.985634	0.0270999	0.0215798	0.0397499	0	0.0451607	0.0142494	0.0305002	0.0201084	0.985375	0.986141	0.984418	0.986711	0.986407	0.992717	0.983628	0.0229645	0.0255425	0.0310288	0.986197	0.98734	0.0515392	0.984971	0.98489	0.0306407	0.983604	0.980219	0.0320587	0.0266482	0.977317	0.980558	0.977919	0.986	0.0336502	0.0319518	0.983672	0.033717	0.970519	0.968922	0.971638	0.971353	0.976249	0.0326622	0.973368	0.953171	0.0357263
j	0.0361541	0.0389784	0.0313748	0.0167649	0.0335374	0.0421221	0.0351164	0.0451607	0	0.0411875	0.0202791	0.0537194	0.0326861	0.03896	0.037421	0.0245696	0.0268551	0.026465	0.0303421	0.0377586	0.0344186	0.0332574	0.0214943	0.0311997	0.0229145	0.0324416	0.026849	0.0514438	0.0267706	0.0253677	0.0413695	0.0423411	0.0416768	0.026745	0.0284285	0.0345685	0.0357631	0.974373	0.027208	0.0303001	0.0254063	0.0115222	0.0367052	0.0335294	0.0357829	0.0440152	0.0261715	0.0397682	0.0247298
ɑ	0.983801	0.0192415	0.99102	0.986362	0.0266106	0.0209963	0.0365742	0.0142494	0.0411875	0	0.030039	0.0192209	0.986103	0.986869	0.985146	0.987439	0.987135	0.993445	0.984356	0.0251702	0.0238975	0.0316205	0.986925	0.988068	0.0467422	0.985699	0.985618	0.0297133	0.984332	0.980947	0.0298582	0.026065	0.978045	0.981286	0.978647	0.986728	0.0290586	0.0264297	0.9844	0.0326392	0.971247	0.96965	0.972366	0.972081	0.976977	0.0328491	0.974096	0.953899	0.0313294
