	a	b	ʧ	i	o	ʃ	ʒ	x	s	k	z	u	v	l	t	θ	d	e	β	n	ɛ	w	ɔ	h	g	j	ɣ	ɲ	r	ð	ə	p	ɸ	ŋ	m	ɖ	ʤ	ʎ	æ	f	ɕ	-
a	0	0.976906	0.981333	0.0377607	0.0276339	0.983589	0.973321	0.978031	0.982586	0.983985	0.979784	0.0391012	0.965203	0.983871	0.98887	0.987728	0.984581	0.0270316	0.976343	0.971472	0.0165328	0.969735	0.978124	0.983844	0.982606	0.984625	0.981724	0.968402	0.983234	0.98204	0.966889	0.983812	0.983787	0.965897	0.950751	0.960708	0.972638	0.972406	0.00910778	0.0277438	0.951959	0.0354438
b	0.976906	0	0.984745	0.981726	0.987067	0.987001	0.976733	0.981443	0.985998	0.987396	0.983196	0.982543	0.0277716	0.987283	0.992282	0.99114	0.987993	0.983815	0.0125254	0.974884	0.981577	0.973147	0.981536	0.987255	0.986018	0.988036	0.985136	0.971813	0.986646	0.985452	0.970301	0.0328711	0.0343929	0.969308	0.954162	0.96412	0.97605	0.975818	0.962449	0.0311556	0.955371	0.99019
ʧ	0.981333	0.984745	0	0.986153	0.991494	0.019228	0.0412408	0.985869	0.0421782	0.0483657	0.987622	0.98697	0.973042	0.99171	0.0730607	0.995567	0.99242	0.988242	0.984182	0.97931	0.986004	0.977573	0.985962	0.991682	0.990444	0.992463	0.989563	0.97624	0.991072	0.989879	0.974727	0.99165	0.991625	0.973735	0.958589	0.968546	0.0378196	0.980244	0.966875	0.0355822	0.959797	0.0534692
i	0.0377607	0.981726	0.986153	0	0.0346728	0.98841	0.978141	0.982851	0.987407	0.988805	0.984604	0.0536683	0.970024	0.988692	0.99369	0.992548	0.989401	0.0241378	0.981163	0.976292	0.982985	0.974555	0.982944	0.988664	0.987426	0.024275	0.986544	0.973222	0.988054	0.98686	0.0230112	0.988632	0.988607	0.970717	0.955571	0.965528	0.977459	0.977226	0.963857	0.032564	0.956779	0.0282407
o	0.0276339	0.987067	0.991494	0.0346728	0	0.993751	0.983482	0.988192	0.992747	0.994146	0.989945	0.0196898	0.975365	0.994033	0.999031	0.997889	0.994742	0.0326204	0.986504	0.981633	0.988326	0.0396143	0.0192351	0.994005	0.992767	0.994786	0.991885	0.978563	0.993395	0.992201	0.0228124	0.993973	0.993948	0.976058	0.960912	0.970869	0.982799	0.982567	0.969198	0.0379049	0.96212	0.0299452
ʃ	0.983589	0.987001	0.019228	0.98841	0.993751	0	0.0287323	0.988126	0.023322	0.99408	0.0653253	0.989227	0.975298	0.993966	0.998965	0.997823	0.994676	0.990499	0.986438	0.981567	0.98826	0.97983	0.988219	0.993939	0.992701	0.99472	0.991819	0.978497	0.993329	0.992135	0.976984	0.993907	0.993882	0.975992	0.960846	0.970803	0.0349135	0.982501	0.969132	0.0378388	0.0354845	0.996873
ʒ	0.973321	0.976733	0.0412408	0.978141	0.983482	0.0287323	0	0.977857	0.0427257	0.983811	0.0288334	0.978958	0.96503	0.983698	0.988697	0.987555	0.984408	0.98023	0.97617	0.971299	0.977992	0.969561	0.97795	0.98367	0.0505902	0.984451	0.981551	0.968228	0.983061	0.981867	0.966716	0.983638	0.983613	0.965723	0.950577	0.960535	0.00947473	0.972232	0.958864	0.0275704	0.951785	0.986604
x	0.978031	0.981443	0.985869	0.982851	0.988192	0.988126	0.977857	0	0.987123	0.0242161	0.98432	0.983668	0.96974	0.988408	0.993406	0.992265	0.989118	0.98494	0.98088	0.976008	0.982701	0.974271	0.98266	0.0221806	0.0405445	0.989161	0.0530845	0.972938	0.98777	0.986576	0.971425	0.988348	0.988323	0.970433	0.955287	0.965244	0.977175	0.976942	0.963573	0.0322802	0.956495	0.0403252
s	0.982586	0.985998	0.0421782	0.987407	0.992747	0.023322	0.0427257	0.987123	0	0.993077	0.0182321	0.988223	0.974295	0.992963	0.997962	0.99682	0.993673	0.989496	0.985435	0.980564	0.987257	0.978827	0.987216	0.992936	0.991698	0.993717	0.990816	0.977494	0.992326	0.991132	0.975981	0.992904	0.992879	0.974989	0.959843	0.9698	0.98173	0.981498	0.968129	0.0368357	0.0183289	0.0582573
k	0.983985	0.987396	0.0483657	0.988805	0.994146	0.99408	0.983811	0.0242161	0.993077	0	0.990274	0.989622	0.975694	0.994362	0.0343199	0.998218	0.995071	0.990894	0.986833	0.981962	0.988655	0.980225	0.988614	0.0212619	0.0370968	0.995115	0.0507541	0.978892	0.993724	0.99253	0.977379	0.994302	0.994277	0.976387	0.961241	0.971198	0.983129	0.982896	0.969527	0.0382341	0.962449	0.0392323
