location	aan	agent	als	beiden	besluit	bij	buiten	daar	dan_1	dat	de_6	door	een_count	een_det	er	even	extra	gerinkel	glas	glaszetter_1	goed	gooien	he	heel	hem	het	hij_2	hoek	houden	huizen	in_1	ineens	is	jongetje_2	juist	klein	klinkt	korte	krijgen	later	let	loopt	lopen	lukt	maar_1	met_1	mevrouw	naar	net	niet	nou	nu	of	om	ontdaan	ook	op	pakken	politieagent	repareren	ruit	ruiten	samen	sneuvelen	staan	stapt	steen	stil	straat	straten	te	tijd	toevallig	van	veel	vraagt	vrouw	wil_1	ze_1	ziet_1
Appelscha	ɑn	plisi	as	ɑlətʋei	ʋɪl	bɛi	bytn	dʌ			də	dʏr	en	ən	ɛr	eibmpis		laʋai	xlas	xlasɛtər	xut	xʊin			hɛm	hɛd	i	hukə	hɒln	hysn	ɪn	ɪnenn	ɪs	jɔxi	krɛkt				kriɡŋ	lætər			loupm	lɒkt		mɛt	frau	nʌ	krɛkt	nit		nɑu	ɒf		fəbɑuʋərɪt		ɔp		plisi	makŋ	ryt	rytn		xʌnkəpʌt	stʌn	loup	stinə	stɪlə	strʌtə					fan		frʌxt	frau	ʋɛl	sə	sit
Axel		pəlisi	ɑt	ɑləbæi	wɪl	bi	bytn	də	dɑ	dɑ	də	dʏr	ɪn	ə	dər	eifə			hlɑs	χlasætər	χut	χʊiən			əm	t	i	uk	pɑkŋ	ysn		ɪnens	ɪs	fɛncə	nɛt	klɛin		kɒrtn		lʌtər	læt	lopt	lopm	lœkt	mʌr	met	frɑuə	nɑ	næt	nɪ	nɑu	nɒu	ɒf			ok	ɪn		pəlisi	mɒkŋ		rytn	sʌmm	χɒnkɑpɒt		kɔm	stɪn	stɪl	strʌtə			tit		fɑn		frɒχt	frɑuə	wɪl		zit
Budel	ɒn	plisi	ɑz	ʌləbæi	bəʃlut	bi	butə	də	dɑn	da	də	dʏʀ	en	nə	əʀ	ɛfə		çəʀɪŋkəl	çlɒs	çlɒsætəʀ	çu	çɒiə	hei	hil	əm	t	hei	huk	hauə	huzə	ɪn	ɪnɛns	ɪs	mænəkə	jyst			kɒʀtə	kʀiɡə	lɒtəʀ	lɛt	lœpt	lɯpə	lœkt	mɑʀ	mæt	fʀɒu	nə	næ	nɪt	nə	nɒu	ɒf	œm		ok	ɔp	pɑkə	plisi	mɑkə	ʀut	ʀutn		snøfəln		lʏbd	kæi	stɪl	stʀɒt		tə	tit	tufɑləç	fɑn	føl	fʀœçt	fʀɒu	wɪl	sə	sɪt
Deerlijk		aχæt	ɑt	ɒlətwə			bœitn		tɯn	dɑ	də	dʏr	en	nə	də	əbeitsə		rɪŋkəln	hlɐs	χlɐzəmʌkər		smæitn	ɛ	vrut		t	i	ɯk	pɑkŋ	œizn	ɛn	ɔmənəkɪr	ɛs	fɪncə	ʒyst	klɛn	klɪŋkt	kɒrtn	krɛin	dərɑxtər	læt	lœpt	lœpm		mər	mɪt	frəuə		ʃystə	ni	ny	nə	ɒfdɑt		fəsχotn		ɔp		pəlisi	fəmɒkŋ	rʏtə	rœtn	tʏpə	brɪkŋ		kɔm	stɪn	stɛl	strʌtə	strʌtn		teit	lœkŋ	fɑn	fɪl	frɑht	frəuə	wɪl	sə	zit
Den Burg		pəlisi	ʌz	bɛiə	wɪl	bei	bytə	dɪr			də		in	ən	ər	ənhɒrcə		xərɪŋkəl	xlɔəs	xlɑzəmɑkər	xut	xʊiə				ət	i	huk	xripə	hyzə	ɪn	ɪninə	ɪs	jɒxi	krɛk	klɛin				lɑtər		lop	lopə		mʌ	mɪt	frɑu	nɑ	nɛt			nɑu	ɒf		fəsxɪft		ɔp		pəlisi		xlɔs	rɑmə	sampis	xɑntəbɒrst		kɔmt	stin	stɪl	strɪt					fɑn		fraxt	frɑu	wɪl	sə	sit
Dendermonde	ʊn						bɒœtə			dɑ			in	nə		ətæcə		lɑwɑit	çlɑs	rəɒtəmɔkər	çut	smætn	hei			t	m		hɑə	ɔzə	ɪn	inenekir	ɪs						kræχə	nɐdi	kɪkt	pɑsɪrt				mɛt	frɑ			ni			ɒf		ʊhədon		ɔp	pɑkə	pɒliʃəmɑn	rəparɪrə	fɛistər	fɛistərs	təsʊmm			kɔm	sten	stɪləkəs	strʊt				likə	fɑn		frʊçt	frɑ	mɒktɑvɑns	zə	sit
Didam	an	plitsi	ɑt	ɑləbɛi	bəslyt	bei	bytə	dʊ	dɑn	dɑ	də		en	ən	dər	ɛfkəs	ɛkstra	çərɪŋkəl	çlɑs		çut	çʊiə	hɛ	hɪl	əm	ət	ə	huk	hɒldə	hyzə	ɪn	inɛns	ɪs	jʏŋskə	krɛk	klɛin	klɪŋk	kɒrtə	kriçə	latər	kik	lʏp	lopə	lʏk	mɒr	mɛt	frɑu	nə	nɛt	nit	nə	nɒu	ɒf	ʏm	fəsçrɪk	ok	ɔp	pɑkə	plitsi	makə	rut	rutə	samə	snøfələ		kʏmp	kɛi	stɪl	strɔt		tə	tit	tufɑləç	fɑn	fœl	frʏç	frɑu	ʋɪl	zə	sʏt
Diepenbeek	ʌ	pəlis	ɑs	ɑləbæ	wil	bɛ	bɔtə		dɑn		də	dʏʀ	ein	ənə	ə	əbitʃə	ækstʀə	ʀiŋkələn	çlɒs	çlɑzəmɑkəʀ	çut	çuiə		hil		t	əʀ	huk	haɡə	hœys	ɛn	ɔpɛns	ɪs	mænəkə					kʁɛeçə	lʌtəʀ	læt	kʏmt	loupə		mɑ		fʀəu	nə	ʒyst	nɪ		nɒu			hiləçɑnzʏfəʀətuʀ		ɔp		pəlis	mʌkə		ʀʌtə	bəden			kʏmp	sten	stɪl	stʀodə					fɑn	føl	fʀʏç	fʀəu	wɪlt	zə	zit
Dokkum	an	plisi	ɑt	bɛidn	bəslyt			də	dan		də	dʊr		n	dər	eifə		ɡərɪŋkəl	ɡlɑs	ɡl̴asɛtər	ɡut	ɡʊiə				ət	ər	hukə	hɑudn			ɪnis	ɪs	jɔŋkjə	krɛk	klɛin		kɒrtə	kræiə	l̴atər	siət	loupt	lʌupən		mɑr	mɛd	frau		krɛkt	nit			ɒf				ɔp	pakŋ	plisi			rytn		snøfələ			stɪən	stɪl	strat	stratn	tə	tit				fraxt	frau	sɪl		sit
Dordrecht		dindər	ɑls				bœtə	dar			də	dʊr	ein	ə	ər						xut	xʊiə	hei			hɛt	hɛi	huk		hœyzə			ɪs	knapi		klɛin					lɛt						frɑu	nə	næt	nit		ny						pɑkə	jyt	mɑkə		raytə		snøfələ		stɑp	stein	stɪl		stratə			tufɒləx	fɑn		frɑxt	ʋɛf	wʏl	sə	sin
