location	word	transcription
Appelscha	aan	ɑn
Appelscha	agent	plisi
Appelscha	als	as
Appelscha	beiden	ɑlətʋei
Appelscha	besluit	ʋɪl
Appelscha	bij	bɛi
Appelscha	buiten	bytn
Appelscha	daar	dʌ
Appelscha	dan_1	
Appelscha	dat	
Appelscha	de_6	də
Appelscha	door	dʏr
Appelscha	een_count	en
Appelscha	een_det	ən
Appelscha	er	ɛr
Appelscha	even	eibmpis
Appelscha	extra	
Appelscha	gerinkel	laʋai
Appelscha	glas	xlas
Appelscha	glaszetter_1	xlasɛtər
Appelscha	goed	xut
Appelscha	gooien	xʊin
Appelscha	he	
Appelscha	heel	
Appelscha	hem	hɛm
Appelscha	het	hɛd
Appelscha	hij_2	i
Appelscha	hoek	hukə
Appelscha	houden	hɒln
Appelscha	huizen	hysn
Appelscha	in_1	ɪn
Appelscha	ineens	ɪnenn
Appelscha	is	ɪs
Appelscha	jongetje_2	jɔxi
Appelscha	juist	krɛkt
Appelscha	klein	
Appelscha	klinkt	
Appelscha	korte	
Appelscha	krijgen	kriɡŋ
Appelscha	later	lætər
Appelscha	let	
Appelscha	loopt	
Appelscha	lopen	loupm
Appelscha	lukt	lɒkt
Appelscha	maar_1	
Appelscha	met_1	mɛt
Appelscha	mevrouw	frau
Appelscha	naar	nʌ
Appelscha	net	krɛkt
Appelscha	niet	nit
Appelscha	nou	
Appelscha	nu	nɑu
Appelscha	of	ɒf
Appelscha	om	
Appelscha	ontdaan	fəbɑuʋərɪt
Appelscha	ook	
Appelscha	op	ɔp
Appelscha	pakken	
Appelscha	politieagent	plisi
Appelscha	repareren	makŋ
Appelscha	ruit	ryt
Appelscha	ruiten	rytn
Appelscha	samen	
Appelscha	sneuvelen	xʌnkəpʌt
Appelscha	staan	stʌn
Appelscha	stapt	loup
Appelscha	steen	stinə
Appelscha	stil	stɪlə
Appelscha	straat	strʌtə
Appelscha	straten	
Appelscha	te	
Appelscha	tijd	
Appelscha	toevallig	
Appelscha	van	fan
Appelscha	veel	
Appelscha	vraagt	frʌxt
Appelscha	vrouw	frau
Appelscha	wil_1	ʋɛl
Appelscha	ze_1	sə
Appelscha	ziet_1	sit
Axel	aan	
Axel	agent	pəlisi
Axel	als	ɑt
Axel	beiden	ɑləbæi
Axel	besluit	wɪl
Axel	bij	bi
Axel	buiten	bytn
Axel	daar	də
Axel	dan_1	dɑ
Axel	dat	dɑ
Axel	de_6	də
Axel	door	dʏr
Axel	een_count	ɪn
Axel	een_det	ə
Axel	er	dər
Axel	even	eifə
Axel	extra	
Axel	gerinkel	
Axel	glas	hlɑs
Axel	glaszetter_1	χlasætər
Axel	goed	χut
Axel	gooien	χʊiən
Axel	he	
Axel	heel	
Axel	hem	əm
Axel	het	t
Axel	hij_2	i
Axel	hoek	uk
Axel	houden	pɑkŋ
Axel	huizen	ysn
Axel	in_1	
Axel	ineens	ɪnens
Axel	is	ɪs
Axel	jongetje_2	fɛncə
Axel	juist	nɛt
Axel	klein	klɛin
Axel	klinkt	
Axel	korte	kɒrtn
Axel	krijgen	
Axel	later	lʌtər
Axel	let	læt
Axel	loopt	lopt
Axel	lopen	lopm
Axel	lukt	lœkt
Axel	maar_1	mʌr
Axel	met_1	met
Axel	mevrouw	frɑuə
Axel	naar	nɑ
Axel	net	næt
Axel	niet	nɪ
Axel	nou	nɑu
Axel	nu	nɒu
Axel	of	ɒf
Axel	om	
Axel	ontdaan	
Axel	ook	ok
Axel	op	ɪn
Axel	pakken	
Axel	politieagent	pəlisi
Axel	repareren	mɒkŋ
Axel	ruit	
Axel	ruiten	rytn
Axel	samen	sʌmm
Axel	sneuvelen	χɒnkɑpɒt
Axel	staan	
Axel	stapt	kɔm
Axel	steen	stɪn
Axel	stil	stɪl
Axel	straat	strʌtə
Axel	straten	
Axel	te	
Axel	tijd	tit
Axel	toevallig	
Axel	van	fɑn
Axel	veel	
Axel	vraagt	frɒχt
Axel	vrouw	frɑuə
Axel	wil_1	wɪl
Axel	ze_1	
Axel	ziet_1	zit
Budel	aan	ɒn
Budel	agent	plisi
Budel	als	ɑz
Budel	beiden	ʌləbæi
Budel	besluit	bəʃlut
Budel	bij	bi
Budel	buiten	butə
Budel	daar	də
Budel	dan_1	dɑn
Budel	dat	da
Budel	de_6	də
Budel	door	dʏʀ
Budel	een_count	en
Budel	een_det	nə
Budel	er	əʀ
Budel	even	ɛfə
Budel	extra	
Budel	gerinkel	çəʀɪŋkəl
Budel	glas	çlɒs
Budel	glaszetter_1	çlɒsætəʀ
Budel	goed	çu
Budel	gooien	çɒiə
Budel	he	hei
Budel	heel	hil
Budel	hem	əm
Budel	het	t
Budel	hij_2	hei
Budel	hoek	huk
Budel	houden	hauə
Budel	huizen	huzə
Budel	in_1	ɪn
Budel	ineens	ɪnɛns
Budel	is	ɪs
Budel	jongetje_2	mænəkə
Budel	juist	jyst
Budel	klein	
Budel	klinkt	
Budel	korte	kɒʀtə
Budel	krijgen	kʀiɡə
Budel	later	lɒtəʀ
Budel	let	lɛt
Budel	loopt	lœpt
Budel	lopen	lɯpə
Budel	lukt	lœkt
Budel	maar_1	mɑʀ
Budel	met_1	mæt
Budel	mevrouw	fʀɒu
Budel	naar	nə
Budel	net	næ
Budel	niet	nɪt
Budel	nou	nə
Budel	nu	nɒu
Budel	of	ɒf
Budel	om	œm
Budel	ontdaan	
Budel	ook	ok
Budel	op	ɔp
Budel	pakken	pɑkə
Budel	politieagent	plisi
Budel	repareren	mɑkə
Budel	ruit	ʀut
Budel	ruiten	ʀutn
Budel	samen	
Budel	sneuvelen	snøfəln
Budel	staan	
Budel	stapt	lʏbd
Budel	steen	kæi
Budel	stil	stɪl
