location	province
Appelscha        	Fryslân
Axel             	Zeeland
Budel            	Noord-Brabant
Deerlijk         	West-Vlaanderen
Den Burg         	Noord-Holland
Dendermonde      	Oost-Vlaanderen
Didam            	Gelderland
Diepenbeek       	Limburg
Dokkum           	Fryslân
Dordrecht        	Zuid-Holland
Eelde            	Drenthe
Ermelo           	Gelderland
Eys              	Limburg
Finsterwolde     	Groningen
Gavere           	Oost-Vlaanderen
Geraardsbergen   	Oost-Vlaanderen
Grijpskerk       	Groningen
Groenlo          	Gelderland
Grolloo          	Drenthe
Grouw            	Fryslân
Heerewaarden     	Gelderland
Hoeven           	Noord-Brabant
Hollum           	Fryslân
Horn             	Limburg
Houthulst        	West-Vlaanderen
Huizen           	Noord-Holland
IJmuiden         	Noord-Holland
IJsselmuiden     	Overijssel
Itegem           	Antwerpen
Jubbega          	Fryslân
Kampen           	Overijssel
Kerkrade         	Limburg
Koekange         	Drenthe
Kudelstaart      	Noord-Holland
Laren            	Noord-Holland
Leersum          	Utrecht
Lemmer           	Fryslân
Lokeren          	Oost-Vlaanderen
Lommel           	Limburg
Lunteren         	Gelderland
Maldegem         	Oost-Vlaanderen
Marken           	Marche
Middelharnis     	Zuid-Holland
Naaldwijk        	Zuid-Holland
Neeroeteren      	Limburg
Nijverdal        	Overijssel
Noordwolde       	Groningen
Ommen            	Overijssel
Onstwedde        	Groningen
Oostende         	West-Vlaanderen
Ooy              	Gelderland
Oude Niedorp     	Noord-Holland
Overijse         	Vlaams-Brabant
Pannerden        	Gelderland
Poperinge        	West-Vlaanderen
Reeuwijk         	Zuid-Holland
Rijen            	Noord-Brabant
Rijkevorsel      	Antwerpen
Roswinkel        	Drenthe
s-Gravenvoeren   	Limburg
Sexbierum        	Fryslân
Sint Annaparochie	Fryslân
Sint-Oedenrode   	Noord-Brabant
Slochteren       	Groningen
Sneek            	Fryslân
Tegelen          	Limburg
Tienen           	Vlaams-Brabant
Tilligte         	Overijssel
Uithuizen        	Groningen
Vaals            	Limburg
Veenwouden       	Fryslân
Venray           	Limburg
Veurne           	West-Vlaanderen
Waubach          	Limburg
Wervershoof      	Noord-Holland
Westkapelle      	Zeeland
Workum           	Fryslân
Zandvliet        	Antwerpen
Zevenhuizen      	Groningen
Zierikzee        	Zeeland
Zwinderen        	Drenthe
