recording	als_o	als	bij_o	bij	buiten_o	buiten	door_o	door	glas_o	glas	goed_o	goed	hem_o	hem	hij_o	hij	hoek_o	hoek	houden_o	houden	huizen_o	huizen	in_o	in	is_o	is	juist_o	juist	klein_o	klein	korte_o	korte	krijgen	krijgen	later_o	later	loopt_o	loopt	lopen_o	lopen	met_o	met	naar_o	naar	niet_o	niet	nu_o	nu	om_o	om	ook_o	ook	op_o	op	ruit_o	ruit	steen_o	steen	stil_o	stil	straat_o	straat	straten_o	straten	tijd_o	tijd	vraagt_o	vraagt	wil_o	wil	ziet_o	ziet
diareg_jv_Appelscha	əs	ɑs	bɛi	bɛi	bytn	byʔn	dʏːr	dœ			xut	xut			hɛi	hɛi	hukə	hukə	hɒːdn	hɔːdn	hyːsn	hyːsn	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin	kɒrtə	kotə			læːtər	læːtə	lœp	lœp			mɛt	mɛ	nɛ	na	nit	nit			ɔm	om	oːk	ok	ɔp	op	rytə	rytə	stiːnə	stinə	stɪl	stɪl	strʌːtə	strɑːtə	strʌːtn	strɑːʔn	tit	tit	frʌːxt	frɑːxt	ʋɪl	ʋɪl	sit	sit
diareg_jv_Dokkum	ɑt	at	bai	bɛi	bytn	byʔn	dʏːr	dœ	ɡl  ̴ɑs	glas	ɡuːt	guət	əm	əm	hɛi	hɛi	hukə	hukə	haːuən	hɔuən	hyzn	hyzən			ɪs	ɪs	jyst	jyst	kl  ̴ɛin	klɛin	kɒːrtə	kotə	kræiən	krɛiən	l  ̴aːtər	laːtər	lʌp	loːpt			mɛt	mɛ	nar	nar	nit	nit	nɑu	nɔu	ɔm	om	oːk	ok	ɔp	op	ryt	ryt	stɪː̃	stiən	stɪl	stɪl	straːt	straːt	straːtn	straːʔn	tit	tit	fraːxt	fraːxt	ʋɪl	ʋɪl	siːt	siət
diareg_jv_Eelde	ɑz	az	bi		butn	buʔn	dʏːr	dœ	xlaːs	xlas	xɑud	xɔud	əm	əm	ə	i	hɑuk	hɔuk	hɒːdn	hɔldn	huːzn	huːzn	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin	kœːrdə	kœːdə			lɔːtər	lɔːtə	lɒp	lop	lɑupm	loːʔm	mɛt	mɪ	nɔ	nɔ	nait	nɛit	nɑu	nɔu	ɔm	om	ouk	oːk	ɔp	op	rut	rut	stɑin	stain	stɪl	stɪl	strʊːt	strɔːt	strʊːtn	strɔːʔn	tit	tit	frʊːxt	frɔxt	ʋɪl	ʋɪl	sœt	sʏt
diareg_jv_Finsterwolde	az	as			butn	buʔn	dʏːr	dœ	xlas	xlas	xɑud	xɔud	hɒm	om	hɑi	hai	hɑukə	hɔukə	hɒːdn	hɔːdn					ɪs	ɪs	nɛt	nɛd		løtjə	kœːrtə	kœːtə	kriɡŋ	krɪgŋ	lʊːtər	lɔːtər	lɒp	lop	lʌupm	loːʔm	mɛt	mɪ	nɒ	nɔ	nɒit	nɔit	nɑu	nɔu	ɔm	om	ɤuk	oːk	ɔp	op	rʊːm		stɒinə	stɔinə	stɪl	stɪl	strʊːtə	strɔːtə	strʊːtn	strɔːʔn	tit	tit	frɑːxt	vraxt	ʋɪl	ʋɪl	sʏxt	zʏx
diareg_jv_Grijpskerk	az	as	bɛi	be	bytn	byʔn	dʊːr	do	xlaːs	xlas	xʊt	xud	hɛm	hɛm	hɛi	hɛi	huk		hɒln	hɔln	hyːzn	hyːsn	ɪː̃	in	ɪs	ɪs	jyst	jyst	lʏ	lʏt	kɒrdə	kodə	kriɡŋ	kreːŋ	lʌːtər	lɑːtə	lɒp	lop	loupm	loːʔm	mɛt	mɛ	na	na	nɪt	nɪt		no			ɒk	ok	ɔp	op	rut	ryt	steːn	stɪːn	stɪl	stɪl	strʌːt	strɑːt	strɒːtn	strɑːʔn	tit	tit	frɒːxt	frɔxt	ʋʏl	ʋɪl	sɪxt	sɪx
diareg_jv_Groenlo	əs	ɑs	bei	be	bytn	byʔn	dʏːʀ	dœ	xlas	xlɑs	xʊd	xoːd			i	i			hɒln	hɔln	hyːsəʀ	hyːzə	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin					lʌtəʀ	lɔːtə	lʏp	lɪp	loːpm	lɔːʔm	mɛt	mɪ	nə	na	neːt	neːt	nɒu	no	ɔm	ʏm			ɔp	op	ʀytə	rytə	steːn	steːnə	stɪl	stɪl	stʀʌːtə	strɑːtə					fʀœx	frœx	ʋʏl	ʋɪl	zʏt	zʏt
diareg_jv_Grolloo	as	as	bɛi	bɛi	bytn	byʔn	dʏːr	dœ	xlas	xlas	xud	xuːd			ə	ə	huk	huk	hɒln	hɔldn	hyzn	hyːzən	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin	kœrtə	kœtə	kriɡŋ	krigŋ	lʌːtər	lɑːtə	lʌp	lop	lʌupm	loːʔm	mɛt	mɪ	nɑ	na	nit	nit	nɑu	nɔu	ɔm	ʏm	oːk	oːk	ɔp	op	ryt	ryt	steːn	stiːn	stɪl	stɪl	straːt	straːt	straːtn	straːʔn	tit	tit	frʌx	frɑx	wʏl	ʋɪl	sœt	zʏt
diareg_jv_Grouw	ɑt	ɑt	bai	bai	butn	buʔn	trɒx	trox	ɡl  ̴ɛːs	glɛːs	ɡuːt	guət	əm	əm	hɛi	hɛi	hukə	hukə	hɒːdn	hɑːdn	hyzn	hyzən	ɪn	in	ɪs	ɪs	krɛkt	krɛʔ			kuɑtə	kʋatə	kræiən	kraiən	lɛtər	lɛtər	rɪnt		rɪnn	rɪnː	mɑi	mai	na	na	nɛt	nɛt							ɔp	op	ryt	ryt	stiː̃	stiən	stɪl	stɪl	strɪtə	strɪtə			tiːt	tiːt	freixət	frexət	ʋɔl	ʋɪl	ʃɔxt	ʃox
diareg_jv_IJsselmuiden	ʌs	ɑs	bei	bɛi	bytn	byʔn	dʏːʀ	dœ	xlɑs	xlɑs	xut	xud	əm	əm	i	i	huk	huk	hɒln	hɔln	hyzn	hyːzn	ɪn	ɪn	ɪs	ɪs	nɛt	nɛt		klɛin	kɑʀtə	kœtə	kʀiɡŋ	kriːŋ	laːtəʀ	laːtə	lʌp	lœp	lʌupm	loːʔm	mɛt	mɛ	nə	na	nit	nit	nɑu	nɔu	œm	ʏmə	oːk	ok	ɔp	op	ʀytə	rytə	steːn	steːn	stɪl	stɪl	stʀʌːtə	strɑːtə	stʀʌːtn	strɑːʔn	tit	tit	fʀœx	frœx	ʋʏl	ʋɪl	zœt	zʏt
diareg_jv_Jubbega	ɑs	as	bai	bɛi	butn	buʔn	trɒx	trox		glɛːs	ɡuːt	guət			hɛi	hɛi	hukə	hukə	hɑːdn	hɑːdn	hyzn	hyzən			ɪs	ɪs	krɛk	krɛʔ	lits	lits	kuɑtə	kʋatə			lɛtər	lɛtər	rɪnt		rɪnn	rɪnː	mɛi	mɛi	na	na	nɛt	nɛt	nə	nɔu	ɔm	om			ɔp	op	ɡlɛːs		stiː	stiən	stɪl	stɪl	strɪtə	strɪtə	strɛtn	strɪʔn	tiət	tiːət	freixət	freɣət	ʋɔl	ʋol	ʃœt	sjot
