	kippen	mijn	vriend	bloemen	spinnen	machines	werk	op	schip	kregen	beschimmeld	brood	timmerman	splinter	vinger	fabriek	vier	bier	twee	drie	hij	knuppel	ik	knie	gezien	ragebol	pet	paddestoel	kerel	brede	stenen	breder	breedste	standbeeld	duivel	gebleven	meester	zee	graag	keelpijn	steel	bezem	neen	geroepen	peer	rijp	geld	ver	brengen	vrouw	zwemmen	sterk	bed	optillen	metselaar	springen	boterham	vader	zes	jaar	school	laten	gaan	water	potten	zijn	veel	maart	nog	koud	kaars	geeft	licht	paard	tegen	zwaluwen	kaas	motor	dag	avond	jongetje	barst	brief	hart	spannen	nieuwe	kar	zoon	koning	ook	geweest	rozen	lange	woord	kindje	was	dochtertje	bos	ladder	mond	droog	dorst	weg	krom	liedje	goed	kelder	voor	moest	ossenbloed	drinken	broer	moe	karnemelk	dun	zuur	put	uur	Italië	bergen	vuur	spuwen	duwen	hebben	stuk	brug	veulen	komen	deur	naaien	gras	brouwer	bakken	je	eieren	krijgen	markt	waren	vijf	eikels	hooi	is	groen	boompje	wijn	huis	melk	spuit	koe	koster	kruiwagen	buigen	Duitsers	blauw	geslagen	saus	flauw	sneeuw	stad	doen	dopen	doopvont	soldaten	dorsen	binden	gebonden
West-Terschelling	kipən	miŋ	kɑmərɑt	blʊmə	spɪnə	məsinəsməʃinəs	ʋɔrək	ʊp	sxɪp	kreɣəkrɪɣə	fəsxɪməltbəsxɪməlt	broət	tɪmərmɑn	splɪntər	fɪŋər	fəbrik	fjɔuwər	biər	twɑ	treijə	hɛi	knʏpəlɛinhɔut	ɪk	knɪbəl	siən	rɑɣəbɔl	pɛt	pɑdəstuəl	mɑn	bredəbrejə	stɪn	bredər	brestə	stɔndbelt	dyvəl	blɔun	mestər	se	xrɑx	ətisikel	stɛl	bizəm	ne	rɔft	pɔər	rip	jɪlt	fiər	brɪŋə	ʋif	swʊmə	stɛrk	bɛət	ʊptɪlən		sprɪŋə		tɔə	sɛks	jiər	sxuəl	lɪtn	xeə	ʋɛtər	pɔtn	bɪn	fʊlə	mɑət	nɔx	kɔət	kɛs	jʊxt	jɛxt	hois	tsjɪ	swɑlywə	tsistsjis	motər	dɛi	ioŋ	jʊŋkjə	bœst	brif	hɔit	spɔnə	nijə	kɑrə	sɪn	koənɪŋ	eək	ʋɛn	roəzən	lɑŋə	ʋɔit	bɔn	ʋɑz	fɑmkədɔxtərtsə	bʊs	leərt	mylə	drux	toəst	ʋɛi		fɛsjə	xuət	kɛldər	fuɑr	mɔs	ɔsəbluət	drɪŋkə	bruər	muət	supkɑrnəmoələk	tɪn	sur	pʏt	ur	itɑljə	bɑrɣən	fjur	spiən	drʏkən	hɑbə	stɪk	brʏx	fɔltsə	kʊmə	doər	nɑijə	xɛs	brɔuwər	bɑkə	do	ɑəjən	krijə	mɑrəkmɑrəkt	wɑrə	fif	ɛikəls	heə	ɪz	xriən	bomkə	ʋin	hys	mʊələk	spœit	ku	kɔstər	krødʋɛin	buɣə	dytsərs	blɑu	slɛin	sjy		sne	stɑt	dweən	dopə	dopfʊnt	sɔldɑtən	tɛskjə	binə	boŋ
Oost-Vlieland	kɪpə	mə	vrɪnt	blumə	spɪnə	məsinəs	ʋɛrək	ʊp	skɪp	kreɣə	bəskɪməlt	brʊət	tɪmərmɑn	splɪntər	fɪŋər	fəbrik	fir	bir	tʋi	dri	ɛi	knʏpəl	k	kni	sin	raɣəbɔl	pɛt	pʊdəstulpɑdəstul	kɪrəlfɛnt	brejə	stində	brejər	bretstə	stɑndbelt		blevə	mestər	se	ɣrax	kelpin	stel	bezəm	nei	rupə	pɪr	rip	ɣɛlt	fɛr	brɛŋə	frɔu	sʋɛmə	stɛrək	bɛd	ʊptɪlə	mɛtsəlar	sprɪŋə	brʊət	fadər	sɛs	jar	skol	latə	ɣan	ʋatər	pɔtə	bɛn	fel	mart	nɔx	kɔut	kɪrs	xeft	lɪxt	pɪrt	teɣə	sʋaləʋə	kes	motər	dɑx	eivən	jʊŋətjə	bɑrstskʏr	brif	ɑrt	spɑnə	nyʋə	kɑr	soun	konəŋ	ʊk	ʋest	rouzə	lɑŋə	ʋʊrt	kind	ʋɑs	kint	bʊs	lɑdər	mʊnt	droux	dɔrst	ʋɛx	krʊm	litjə	xut	kɛldər	fʊr		ɔsəblud	drɪŋkə	brur	muət	kɑrəmɛlək	dʏn	syr	pʏt	yr	italiə	bɛrəɣə	fyr	spyɣə	dɔuʋə	ɛbə	stʏk	brʏx	følə	kʊmə	dʏr	najə	ɣrɑs	brɔuʋər	bɑkə	jə	ɛijərs	kriɣə	mɑrəkt	ʋarə	vɛif	ɛikəls	oj	ɪs	ɣrun	bompjə	ʋin	ys	mɛlək	spœyt	ku	kɔstər	krœyʋaɣə	byɣə	dytsərs	blɔuʋ	slaɣə	ʃydop	flɪuʋ	snyʋ	stɑt	dun	dopə	dopskal	sɔldatə	dɔrsə	bɪndə	bundə
Den Burg	kɪpə	min	vrɪnt	blʊmə	spɪnə	məsinəs	ʋɛrək	ʊp	skɪp	kreɣə	bəskɪməlt	brʊət	tɪmərmɑn	splɪntər	fɪŋər	fɑbrik	fir	bir	tʋi	dri	he	knʏpəl	ɪk	kni	siən	raɣəbɔl	pɛt	pɑdəstul	kɪrəl	brɪədə	stiənə	brɪədər	brɪəstə	stɑmbelt	lysifɛr	blefə	mestər	sej	ɣraɣ	pinɪsənkel	stel	bezəm	nej	rupə	pɪr	rip	ɣɛlt	fɔrt	brɛŋə	vrɔu	zʋɛmə	stɛrək	bɛd	ʊptɪlə	mɛsəlar		stɪk	vadər	sɛs	jar	skol	latə	ɣan	ʋatər	pɔtə	bɛnə	føl	mart	nɑx	kɔut	kɪrs	ɣeft	lɪxt	pɪrt	tøɣə	zʋavəltjəs	kɪəs	motər	dɑx	ɪəvən	jʊŋətjə	bɑrst	briəf	hɑrt	spɑnə	noʋə	kɔr	zøn	konəŋ	ʊk	ʋest	rouzən	lɑŋə	ʋurt	kɪntjə	ʋɑs	mɛisi	bʊs	lɔdər	mʊnt	drʊɣ	dʊrst	ʋɛx	krʊm	litjə	xut	kɛldər	fʊr	mʊst	ɔsəbluət	drɪŋkə	brur	muət	kɑrəmɛlək	dʏn	syr	pɛt	yr	italijə	bɛrəɣə	vyr	spyɣə	doʋədɔuʋə	hɛbə	ɛnt	brɛx	foltjə	kʊmə	dʏr	naiə	ɣrɑs	brɔuʋər	bɑkə	jə	ɛijər	kreɣə	mɑrəkt	ʋarə	vɛif	akərtjəs	hoj	ɪs	ɣrun	bompi	ʋɛin	hys	mɛlək	spyt	ku	kʊstər	krøʋaɣə	byɣə	dysərs	blauʋ	sleɣə	ʃy	flɪuʋ	snɪuʋ	stɑt	duən	dʊpə	dʊbɛkə	sɔldatə	dʊrsə	bində	bʊndə
Hollum	hɪn	mi	friənt	blum	spɪnə	məsinəs	ʋɛrk	ʊp	skɪp	kreɣə	skɪmələɣ	broət	timərmɑn	splɪntər	fɪŋər	fəbrik	fiə	biər	tʋiə	driə	hɛi	knɛpəl	ɪk	knɪbəl	siən	raɣəbɔl	pɛt	pɑdəstuəl	keərl	bredə	stin	bredər	brestə	stɑndbelt	dyvəl	blevən	mestər	se	ɣraɣ	pɪnəkel	stɔk	bezəm		rupə	peər	rip	ɡɛlt	feər	brɪŋə	frɔu	sʋɛmə	stɛrk	bɛəd	ʊptɪln	mɛtslər	sprɪŋə	brʊt	fadər	sɛs	jɑr	skuəl	latn	ɡɑ	ʋatər	pɔtn	bɪn	føl	mat	nɔx	kʊəd	keəs	ɡeft	lɪxt	peət	tøɣə	sʋɑlywə	kes	motər	dɑɣ	avən	jʊŋətjə	bɑist	briu	hait	spɑ	nɛijə	kɑr	søn	koənɪŋ	ʊk	ʋest	roəzn	lɑŋə	ʋoət	kin	ʋɑr	mɛiskə	bʊs	lɛdər	mʊən	drox	dʏst	ʋɛx		fɛsi	ɣuət	kɛldər	foə	mʊst	ɔsəbluəd	drɪŋkə	bruər	muəd	syp	dʏn	syər	pʏt	yər	ɪtɑlijə	bɛrɣən	fyər	spywə	dywə	hɛ	stɪk	brʏx	foəlfœlkə	kʊmə	døər	nɑijə	ɡɑis	brɔuwər	bɑkə	jɔu	ɛijərs	krɛijə	mɛrk	ʋɑrə	fɛif	ekəls	hoi	ɪz	ɡruən	bomkə	ʋin	hyz	mɛlk	spœit	ku	kɔstər	krœyʋaɣən	byɣə	dytsəs	blɔu	slaɣən	sjy	flɑu	sne	stɑt	duən	dopə	dopfʊnt	sɔldatn	dʏskə	binə	bʊn
Nes	hɪn	mi	friənt	blum	spɪnə	məsinə	ʋɛrk	ʊp	skɪp	kreɣə	skɪmələɣ	broət	tɪmərmɑn	splɪntər	fɪŋər	fəbrik	fiər	biər	tʋiə	driə	hɛi	knɛpəl	ɪk	knɪbəl	siən	raɣəbɔl	pɛt	pʊdəpɑstn	keərl	bredə	stiən	bredər	brestə	stɑndbelt	dyvəl	blevən	mestər	se	ɡrɑɣ	pinəkel	stɔk	bezəm		rupən	peər	rip	ɡɛlt	feər	brɪŋə	frɔu	sʋɪmə	stɛrk	bɛəd	ʊptɪln	mɛtsəlɑr	sprɪŋə	brʊt	fɑdər	sɛs	jɑr	skʊəl	lɑtn	ɡɑ	ʋɑtər	pɔtn	bɪn	føl	mɑt	nɔx	kɔəd	keəs	ɡeft	lɪxt	peət	tøɣə	sʋɑlywə	kes	motər	dɑɣ	ɑvən	jʊŋətjə	bɑstbɑist	briv	hɑthɑit	slɑ	nɛijə	kɑr	søn	koənɪŋ	ʊk	ʋest	roəzn	lɑŋə	ʋoət	kin	ʋɑr	mɛiskə	bʊs	lɑdər	mʊən	drox	dʏst	ʋɛx		fɛrsi	ɡuət	kɛldər	foə	mʊst	ɔsəbluət	drɪŋkə	bruər	muəd	syp	dʏn	syər	pʏt	yər	itɑlijə	bɛrɣən	fyər	spɛijə	dɔuwən	hɛ	stɪk	brʏx	fɔəltjə	kʊmə	døər	nɑijə	ɡɛs	brɔuwər	bɑkə	jɔu	ɛijərs	krɛijə	mɛrk	ʋɑrə	fɛif	ɛkəls	hoi	ɪz	ɡruən	bompjə	ʋin	hys	mɛlk	spœyt	kuə	kɔstər	krœyʋɑɣən	byɣə	dytsəs	blɔu	sluɣən	sy	lɑf	sne	stɑt	duən	dopə	dopfʊnt	sɔldɑtn	dɛskə	binə	bʊn
Schiermonnikoog	henə	min	frɪun	blomə	spɪnəspɪnə	məsjinə	ʋɛrk	ʊb	sxɪp	kriəɣə		bolə	tɪmərmɑn	splɪntər	fɪŋər	fəbrik	fjɪuwər	bjɑir	tʋɑ	troə	hi	knɔpəl	ɪk	knɪvəl	sin	rɑiɣəbɔl	pɛtjən	pɑrəpystər	kɑirl	bredə	stɪn	bredər	bretstə	stɔnbelt	dyvəl	blɪun	mɛstər	se	ɡrɑx	pininəkel	stɔlə	bezəm		rʏpən	pɔr	rip	jild	fɪə	brɪŋə	ʋif	sʋʊmə	stɔrk	bɛd	ʊptɪln	mɛtsələr	jɛpə	bolə	hɛit	sɛks	jiər	sxyəl	lɑtn	ɡɑi	ʋɑtər	pɔtn	bɪnə	folə	mɑt	nɔx	kɑut	kɔz	jiut	jiət	hijər	tjɪ	sʋɑljəs	tjis	motɔr	dɛ	jɑunə	litjəjʊŋə	bɑst	briəv	hɛts	spɑnə	ne	kɑr	søn	kønɪŋ	ɑik	ʋɛnʋin	røzə	lɑŋə	ʋɛs	litjbɛn	ʋi	litjfɑm	bʊsk	lɛijəs	mylə	dryx	tøəst	ʋoi		liət	ɡyət	kɛldər	føə	mʊst	ʊksəblyət	drɪŋkə	bryər	myət	sypə	tɪn	siur	tʊn	iurə	itɑljə	bɛrɣən	fjyər	spejə	dɪuwə	hɛ	stʏk	brɛɣə	fɔlə	kʊmə	dɑr	noijə	ɡɔs	brɑuwər	bɑkə	dʊ	oijən	krejə	mɑrkt	ʋiənə	fif	ɛkəls	hɑi	ɪz	ɡriən	litjəbɑim	ʋin	hyz	mʏlkə	spœytət		kɔstər	krøkiər	byɣət	dytsəs	blɑu	slʊənklɪut	stɪp	flɑu	sniə	stɛt	dʋɑn	døpən	døpfʊnt	sɔldɑtn	tɑskjə	binə	bɪun
Oosterend		mi	mɔət				ʋɛrək	ʊp	sxɪp	kreɡə		broət			fɪŋər		fjɔuwər	bjeər	twa	trɛi	hi	ɛinhɔut	ɪk	knɪbəl	siən				keərl		stɪn	bredər			dyvəl	blɔun	mɛistər		ɣrɑ		stɑl	biəzəm		rɔxt	pɛər	rip	jɪlt	fiər	brɪŋə		swʊmə		bɛət			sprɪŋ		tɑ	sɛks	jiər	skʊlə	lɪtn	ɡeə		pɔtn	bɪn	fʊlə	meət	nɔx	kɔət	kɛs	jʊxt	jɛxt	hɔis	tsjɪ		tsjiəs		dɛi	iun		bɛstsxuər	briəf	hɛt	slɑ	niə	kɑrə	soəsuə	koənəŋ	ɪk	ʋɛn		lɑŋə	ʋɛət	bɛn	ʋɑzʋɑr	fɑmkə	bʊs	lɛdərleərd	mylə	drux	toəst	ʋɛi		liətsjəfɛsjə	xuət	kɛldər	fuɑr	moəstmost		drɪŋkə	bruər	muəd		tɪn	sur	seəbɑk	ur			fjur		drʏkənduwən	hɑ	brɔk	brɛəx	fɔələ	kʊmə	doər		xɛsɡɛs		bɑkə	do	ɑəijən	kriə		ʋɑin	fif		heə	ɪz	ɣriɑn	bomkə	ʋin	hys	mʊlək	spɔt	ku	kɔstər		buɣə		blɑu	slɛin	dopsjy		snei		dwɑən	dopə			tɛskə	binə	
Ferwerd	hɪn	mi	frøə	blʊm	spɪnə	məzin	ʋʏrk	ʊp	skɪp	kriɣə		bɔələ	tɪmərmɔn	splɪntər	fɪŋər	fəbrik	fjɔuwər	biər	tʋɑ	trɛijə	hɛi	stɔək	ɪk	knɪbəl	sjuən	rɛəɣəbɔl	pɛt	pʊtəstuəl	kɪrl	bredə	stjɪn	bredər	brestə	stɔntbelt	dyvəl		mestər	se	ɡrɑ	pininəkel	stɔək	biəzəm		rʊpm	pɑr	rip	jɪlt	fiər	brɪŋə	frɔu	sʋɪmə	stɛrk	bɛət	ʊptɪln	mɪtslər	sprɪŋə	bɔələ	hɑit	sɑiz	iər		lɪtn		ʋɛtər	puɑtn	bɪn	fʊlə	mɑt	nɔx	kɔət	kɛs	jɔut	ljɔxt	hindər		sʋɛltsis	tsis	motər	dɑi	jun	jʊŋə	skuʊr	briəv	hɑt	slɑɣə	nɛijə	kɑrə	soə	koənɪŋ	ɛk	ʋɛst	rozn	lɑŋə	ʋʏt	bɛntsi	ʋi	fɑmkə	bʊs	ljɛdər	muʊlə	drux	toəst	dik			ɡuət	kɛldər	fuɑ	must	ʊksəbluət	drɪŋkə	bruər	ʋɑrəx	sup	tɪn	suər		uərə	itɑlji	bɛrɣən	fjuər	spœyjə	trjowə	ha	stɪk	brɛəɣə	fɔələ	kʊmə	doər	nɑijə	ɡɛəs	brɔuwər	bɑkə	do	ɑijəŋ	krɛijə	mɛrk	ʋjɪn	fif	ɛkəls		ɪz	ɡriən	bjɪmkə	ʋin	huz	mɔlkə	spœytət	ko	kɔstər	kroədə	buɣə	dytsəs	blɔu	slɛin	sjy	flɔu	sniə	stɛət	dwɑn	dopə	dopfʊnt	səldɑtn	tɛskjə	binə	bun
Holwerd	hɪn	mi	frøə	blʊm	spɪnə	məsin	ʋʏrk	ʊp	skɪp	kriɣə		bɔələ	tɪmərmɔn	splɪntər	fɪŋər	fəbrik	fjɔuwər	biər	tʋɑ	trɛijə	hɛi	stɔək	ɪk	knɪbəl	sjuən	rɛəɣəbɔl	pɛt	pʊdəstuəl	keərl	bredə	stɪn	bredər	brestəbretstə	stɔnbelt	dyvəl		mestər	se	ɡrɑ	lɛstfɑnəkel	stɔək	biəzəm		rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə	frɔu	sʋɛmə	stɛrk	bɛət	ʊptɪln	mɛtsələr	sprɪŋə	bɔələ	hɑit	saiz	iə	skuɑlə	lɪtn	ɡeə	ʋɛtər	pɔtn	bɪn	fʊlə	mɑt	nɔx	kɔət	kjɛz	jɔut	ljɔxt	hindər	tsjɪ	sʋɛltsis	tsis	motər		jun	jʊŋkjə	bɑst	briəv	hɑt	slɑ	nɛijə	kɑrə	sʊən	kʊənɪŋ	ɛk	ʋɛst	roəzn	lɑŋə	ʋʏt	bɛntsi	ʋi	fɑmkə	bʊsk	ljɛrə	muʊl	drux	tʊəst	dik		fɛskə	ɡuət	kɛldər	fuɑ	must	ʊksəbluət	drɪŋkə	bruər	ʋʏrəx	sup	tɪn	suər	pʏt	uərə	itɑlijə	bɛrɣən	fyər	spywən	trjouwə	hɑ	stɪk	brɛəɣə	fɔələ	kʊmə	dʊər	nɑijə	ɡjɛs	brɔuwər	bɑkə	dʊ	ɑijəŋ	kraijə	mɛrk	ʋiən	fif		heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə	spœytət	ko	kɔstər	krʊədə		dytsərs	blɔu	slɑjn	sɔuz	flɔu	sniə	stɛət	dʋɑn	dopə	dopfʊnt	sɔldɑtn	teski	binə	bun
Anjum		miŋ	kɑmərɑt				ʋʏrk	ʊb	skɪp	kriɣə		bɔələ			fɪŋər			biər	tʋɑ	trɛijə	hɛi	knɛpəl	ɪk	knɪbəl	sjuən				keərl		stjɪn	bredər			dyvəl	bløən	mestər	se	ɡrɑɣ		stɔək	biəzəm		rʊpm	pɑr	rip	jɪlt	fiə	brɪŋə		sʋɛmə		bɛət			sprɪŋə		hɛit	sɛiz	iə	skuɑlə	lɪtn	ɡeə		puɑtnpɔtn	bɪn	fʊlə	mɑt	nɔx	kɔət	kjɛz	jɔut	ljɔxt	hindər	tsjɪ		tsis		dɛi	jun		bɑst	briəv	hɑt	slɑ	nɛijə	kɑrə	sʊə	kʊənɪŋ	ɛk	ʋɛst		lɑŋə	ʋʏt	bɛntsjə	ʋi	fɑmkə	bʊs	ljɛrə	muʊlə	drux	tʊəst	ʋɛi		fɛskə	ɡuət	kɛldər	fuɑ	must		drɪŋkə	bruər	ʋʏrx		tɪn	suər	pʏt	uərə			fjuər		trjowə	hɑhɛ	stɪk	brɛəɣə	fɔələ	kʊmə	doər		ɡjɛs		bɑkə	do	ɑijəŋ	kreijə		ʋjɪn	fif		heə	ɪz	ɡriən	bjɛmkə	ʋin	huz	mɔlkə	spœytət	ko	kɔstər		buɣə		blɔu	slɛin	sjy	flɔulɑf	sniə		dʋɑn	dopə			tɛskjə	binə	
