location	word	trs
benga A34/1	all-pl.dat	bexepi
benga A34/2	all-pl.dat	biĠèpi
pove B22c (B305)	all-pl.dat	myɔtsu
(o)mbamba B62/1 (1973)	all-pl.dat	aso
teke Omvula B70	all-pl.dat	boori
benga A34/1	all-sg.dat	xepi
benga A34/2	all-sg.dat	Ġèpi
fang souanke A75	all-sg.dat	èkwè
fang meke A75	all-sg.dat	b∂s∂
fang ntumu A75	all-sg.dat	b∂s∂
bekwil A85b	all-sg.dat	yaas
kwel A85b	all-sg.dat	pesi
kwele A85b	all-sg.dat	kos
mpongwe B11a	all-sg.dat	aʒwèdu
galwa B11c/1	all-sg.dat	ɔdu
galwa B11c/2	all-sg.dat	dudu
nkomi B11e	all-sg.dat	ođuđu
sekiyani B21	all-sg.dat	boomɔ
ngom kele B22b	all-sg.dat	bobèèsè
mbangwe B23	all-sg.dat	babèsè
wumbvu B24/1	all-sg.dat	bèèsè
wumbvu B24/2	all-sg.dat	bèsè
kota B25/1	all-sg.dat	bahedʒe
kota B25/2	all-sg.dat	baxèyè
kota B25/4	all-sg.dat	bahadyè
kota B25/5	all-sg.dat	hèdyè
sake B252/1	all-sg.dat	yèsè
sake B252/2	all-sg.dat	bèse
mahongwe B251/1	all-sg.dat	èèhè
ndasa B241/1	all-sg.dat	bèèsini
ndasa B241/2	all-sg.dat	bèèsini
mahongwe sama B251/2	all-sg.dat	èèhè
tsogo B31	all-sg.dat	wèt∫ɔ
himba B312	all-sg.dat	dyɔtsè
ibongo  B401	all-sg.dat	booso
pinzi B311	all-sg.dat	onè
pove B22c (B305)	all-sg.dat	wɔɔtsu
shira B41	all-sg.dat	botso
shira bwali B41	all-sg.dat	botsu
sangu B42/1	all-sg.dat	botsu
sangu B42/2	all-sg.dat	botsu
punu B43/1	all-sg.dat	bootso
punu B43/2	all-sg.dat	botsu
lumbu B44	all-sg.dat	bootsu
lumbu yi tandu B44	all-sg.dat	bɔtsu
lumbu yi banda B44	all-sg.dat	bɔtsu
bwisi B410	all-sg.dat	bootsu
varama B414/1	all-sg.dat	botsu
varama B414/2	all-sg.dat	bɔɔtsu
vungu B431/1 (Nasse)	all-sg.dat	otsu
vungu B431/2 (1986)	all-sg.dat	bɔtsu
duma B51	all-sg.dat	bosi
nzebi B52/1	all-sg.dat	boot∫i
nzebi B52/2	all-sg.dat	boot∫i
tsaangi B53	all-sg.dat	boosi
liwanji B511	all-sg.dat	osi
(o)mbamba B62/1 (1973)	all-sg.dat	eso
(o)mbamba B62/2 (1986)	all-sg.dat	asiso
(o)mbamba B62/3 (1989)	all-sg.dat	basɔ
nduumo B63/1	all-sg.dat	bwèsi
nduumo B63/2	all-sg.dat	bvyesi
teke Omvula B70	all-sg.dat	yoori
teke komono B70	all-sg.dat	see
teke kaleiB70	all-sg.dat	bwɔsi
B72a ngungwel	all-sg.dat	bwopele
teke tsaayi B73a/1 (Bouka)	all-sg.dat	bwè
teke tsaayi B73a/2 (Libele)	all-sg.dat	bwɔɔsɔ
benga A34/1	arm-pl.dat	benɔ
benga A34/2	arm-pl.dat	bedo
fang souanke A75	arm-pl.dat	m∂kul
bekwil A85b	arm-pl.dat	mèbɔɔ
kwele A85b	arm-pl.dat	mèmbɔ
nkomi B11e	arm-pl.dat	aĠɔ
sekiyani B21	arm-pl.dat	mèbɔ
mbangwe B23	arm-pl.dat	mambɔ
wumbvu B24/1	arm-pl.dat	mabooko
kota B25/1	arm-pl.dat	mabo
kota B25/2	arm-pl.dat	mabɔ
kota B25/4	arm-pl.dat	mabɔ
sake B252/1	arm-pl.dat	mèbɔ
ndasa B241/1	arm-pl.dat	makaaka
tsogo B31	arm-pl.dat	mɔɔĠɔ
himba B312	arm-pl.dat	maɡɔɡɔ
ibongo  B401	arm-pl.dat	myooĠo
pinzi B311	arm-pl.dat	makaka
pove B22c (B305)	arm-pl.dat	mɔɡu
shira B41	arm-pl.dat	myooĠu
sangu B42/2	arm-pl.dat	myoĠu
punu B43/1	arm-pl.dat	byowo
lumbu B44	arm-pl.dat	miĠooĠo
lumbu yi tandu B44	arm-pl.dat	miɔu
bwisi B410	arm-pl.dat	makaanda
varama B414/1	arm-pl.dat	myoɡu
vungu B431/1 (Nasse)	arm-pl.dat	moĠu
nzebi B52/1	arm-pl.dat	myɔxɔ
tsaangi B53	arm-pl.dat	myɔɔĠɔ
liwanji B511	arm-pl.dat	myɔɔĠɔ
nduumo B63/1	arm-pl.dat	omyoĠo
kaningi B631	arm-pl.dat	myɔĠɔ
teke kaleiB70	arm-pl.dat	myɔ
teke tsaayi B73a/2 (Libele)	arm-pl.dat	myoĠo
benga A34/1	arm-sg.dat	enɔ
benga A34/2	arm-sg.dat	edo
fang souanke A75	arm-sg.dat	akul
fang meke A75	arm-sg.dat	wɔ·
fang ntumu A75	arm-sg.dat	wo
bekwil A85b	arm-sg.dat	mbɔɔ
kwel A85b	arm-sg.dat	mbɔ
kwele A85b	arm-sg.dat	mbɔ
mpongwe B11a	arm-sg.dat	ɔĠɔ
galwa B11c/1	arm-sg.dat	ɡɔ
galwa B11c/2	arm-sg.dat	oɡo
nkomi B11e	arm-sg.dat	oĠɔ
sekiyani B21	arm-sg.dat	bɔ
ngom kele B22b	arm-sg.dat	mbɔ
mbangwe B23	arm-sg.dat	mbɔ
wumbvu B24/1	arm-sg.dat	booko
kota B25/1	arm-sg.dat	ebo
kota B25/2	arm-sg.dat	obɔ
kota B25/4	arm-sg.dat	obɔ
kota B25/5	arm-sg.dat	bɔ
sake B252/1	arm-sg.dat	mbɔ
mahongwe B251/1	arm-sg.dat	bɔ
ndasa B241/1	arm-sg.dat	ikaaka
mahongwe sama B251/2	arm-sg.dat	bɔ
tsogo B31	arm-sg.dat	oĠɔĠɔ
himba B312	arm-sg.dat	oɡɔɡɔ
ibongo  B401	arm-sg.dat	wooĠo
pinzi B311	arm-sg.dat	kaka
pove B22c (B305)	arm-sg.dat	oɡɔɡu
shira B41	arm-sg.dat	wooĠu
shira bwali B41	arm-sg.dat	myoɡu
sangu B42/1	arm-sg.dat	ɡoɡu
sangu B42/2	arm-sg.dat	ĠoĠu
punu B43/1	arm-sg.dat	wowo
punu B43/2	arm-sg.dat	ɡoɡu
lumbu B44	arm-sg.dat	muĠooĠo
lumbu yi tandu B44	arm-sg.dat	wɔu
lumbu yi banda B44	arm-sg.dat	Ġɔwu
Lumbu 4 B44	arm-sg.dat	woχu
bwisi B410	arm-sg.dat	dikaanda
varama B414/1	arm-sg.dat	ɡoɡu
varama B414/2	arm-sg.dat	xɔxu
vungu B431/1 (Nasse)	arm-sg.dat	ĠoĠu
vungu B431/2 (1986)	arm-sg.dat	ĠɔĠu
duma B51	arm-sg.dat	ɡɔɡɔ
nzebi B52/1	arm-sg.dat	xɔɔxɔ
nzebi B52/2	arm-sg.dat	ĠooĠo
tsaangi B53	arm-sg.dat	kɔɔĠɔ
liwanji B511	arm-sg.dat	ĠɔĠɔ
(o)mbamba B62/1 (1973)	arm-sg.dat	kwoɡo
(o)mbamba B62/2 (1986)	arm-sg.dat	kwɔɡɔ
nduumo B63/1	arm-sg.dat	xoĠo
nduumo B63/2	arm-sg.dat	kwɔĠɔ
kaningi B631	arm-sg.dat	kwɔĠɔ
teke Boundji B70	arm-sg.dat	kwo
teke kaleiB70	arm-sg.dat	kwɔ
teke tsaayi B73a/2 (Libele)	arm-sg.dat	kwoĠo
benga A34/1	ashes-pl.dat	mabu
fang souanke A75	ashes-pl.dat	m∂su
mpongwe B11a	ashes-pl.dat	imbu
wumbvu B24/1	ashes-pl.dat	maswiiki
wumbvu B24/2	ashes-pl.dat	masyiki
kota B25/1	ashes-pl.dat	mahuweke
kota B25/2	ashes-pl.dat	makuxu
kota B25/4	ashes-pl.dat	makuhu
sake B252/1	ashes-pl.dat	mèsuu
ndasa B241/1	ashes-pl.dat	masiiku
ndasa B241/2	ashes-pl.dat	masiiku
tsogo B31	ashes-pl.dat	myɔtɔ
pinzi B311	ashes-pl.dat	mitoyi
pove B22c (B305)	ashes-pl.dat	miti
shira B41	ashes-pl.dat	mabufu
sangu B42/2	ashes-pl.dat	mabufu
punu B43/1	ashes-pl.dat	mabuufu
lumbu B44	ashes-pl.dat	mabuufu
Lumbu 4 B44	ashes-pl.dat	mabufu
nzebi B52/1	ashes-pl.dat	mafutu
(o)mbamba B62/3 (1989)	ashes-pl.dat	awutu
kaningi B631	ashes-pl.dat	lifutu
teke kaleiB70	ashes-pl.dat	mfulu
benga A34/1	ashes-sg.dat	dyubu
benga A34/2	ashes-sg.dat	yoobo
fang souanke A75	ashes-sg.dat	asu
fang meke A75	ashes-sg.dat	asu
fang ntumu A75	ashes-sg.dat	asub
bekwil A85b	ashes-sg.dat	mèsii
kwele A85b	ashes-sg.dat	mè∫i
mpongwe B11a	ashes-sg.dat	ombu
galwa B11c/1	ashes-sg.dat	mbu
galwa B11c/2	ashes-sg.dat	ombu
nkomi B11e	ashes-sg.dat	ombu
sekiyani B21	ashes-sg.dat	yuubu
ngom kele B22b	ashes-sg.dat	lefupekè
wumbvu B24/1	ashes-sg.dat	dʒiswiiki
wumbvu B24/2	ashes-sg.dat	dʒusyiki
kota B25/1	ashes-sg.dat	ihuweke
kota B25/2	ashes-sg.dat	ikuxu
kota B25/4	ashes-sg.dat	ikuhu
kota B25/5	ashes-sg.dat	kuu
sake B252/1	ashes-sg.dat	risuu
sake B252/2	ashes-sg.dat	ri∫u
mahongwe B251/1	ashes-sg.dat	huweeke
ndasa B241/1	ashes-sg.dat	isiiku
ndasa B241/2	ashes-sg.dat	isiiku
mahongwe sama B251/2	ashes-sg.dat	huweeke
tsogo B31	ashes-sg.dat	mɔtɔ
himba B312	ashes-sg.dat	mitɔ
ibongo  B401	ashes-sg.dat	difutu
pinzi B311	ashes-sg.dat	motoyi
pove B22c (B305)	ashes-sg.dat	mutu
shira B41	ashes-sg.dat	dibufu
shira bwali B41	ashes-sg.dat	m∂bufu
sangu B42/1	ashes-sg.dat	dibufu
sangu B42/2	ashes-sg.dat	dibufu
punu B43/1	ashes-sg.dat	dibuufu
punu B43/2	ashes-sg.dat	mabufu
lumbu B44	ashes-sg.dat	dibuufu
lumbu yi tandu B44	ashes-sg.dat	dibufu
lumbu yi banda B44	ashes-sg.dat	dibufu
Lumbu 4 B44	ashes-sg.dat	dibufu
bwisi B410	ashes-sg.dat	dibuufu
varama B414/1	ashes-sg.dat	mabufu
varama B414/2	ashes-sg.dat	mabufu
vungu B431/1 (Nasse)	ashes-sg.dat	bufu
vungu B431/2 (1986)	ashes-sg.dat	dibufu
duma B51	ashes-sg.dat	mutoyi
nzebi B52/1	ashes-sg.dat	l∂futu
nzebi B52/2	ashes-sg.dat	lèfutu
tsaangi B53	ashes-sg.dat	mufutu
liwanji B511	ashes-sg.dat	mitɔyi
(o)mbamba B62/1 (1973)	ashes-sg.dat	eɡuri
(o)mbamba B62/2 (1986)	ashes-sg.dat	ewuru
(o)mbamba B62/3 (1989)	ashes-sg.dat	ewutu
nduumo B63/1	ashes-sg.dat	efutu
nduumo B63/2	ashes-sg.dat	epfutu
kaningi B631	ashes-sg.dat	futu
teke Boundji B70	ashes-sg.dat	lesulu
teke Omvula B70	ashes-sg.dat	lefuru
teke komono B70	ashes-sg.dat	lefuta
teke kaleiB70	ashes-sg.dat	lèfulu
teke tsaayi B73a/1 (Bouka)	ashes-sg.dat	lèfuta
teke tsaayi B73a/2 (Libele)	ashes-sg.dat	mufutu
benga A34/1	bark-pl.dat	bepape
benga A34/2	bark-pl.dat	bepaape
fang souanke A75	bark-pl.dat	bikop
bekwil A85b	bark-pl.dat	ɪpèk
mpongwe B11a	bark-pl.dat	imbèi
wumbvu B24/1	bark-pl.dat	mapaalu
wumbvu B24/2	bark-pl.dat	mapaalu
kota B25/2	bark-pl.dat	bepaʒi
kota B25/4	bark-pl.dat	bebayi
kota B25/5	bark-pl.dat	m∂piyo
sake B252/1	bark-pl.dat	biyiri
mahongwe B251/1	bark-pl.dat	mapiyu
ndasa B241/1	bark-pl.dat	mapaalu
ndasa B241/2	bark-pl.dat	mapaalu
mahongwe sama B251/2	bark-pl.dat	mapiyu
tsogo B31	bark-pl.dat	dyeko
himba B312	bark-pl.dat	didyeeko
ibongo  B401	bark-pl.dat	makuku
pinzi B311	bark-pl.dat	didyeko
pove B22c (B305)	bark-pl.dat	masoŋɡo
shira B41	bark-pl.dat	bibaalu
sangu B42/2	bark-pl.dat	masuŋɡu
punu B43/1	bark-pl.dat	makuku
lumbu yi tandu B44	bark-pl.dat	tsinyul∂
bwisi B410	bark-pl.dat	makuku
nzebi B52/1	bark-pl.dat	masuuŋɡu
nzebi B52/2	bark-pl.dat	masuunɡu
tsaangi B53	bark-pl.dat	bisuunɡu
liwanji B511	bark-pl.dat	bisuuŋɡu
(o)mbamba B62/3 (1989)	bark-pl.dat	epali
kaningi B631	bark-pl.dat	bipali
teke kaleiB70	bark-pl.dat	epa
teke tsaayi B73a/1 (Bouka)	bark-pl.dat	bibu
teke tsaayi B73a/2 (Libele)	bark-pl.dat	bisuu
benga A34/1	bark-sg.dat	epape
benga A34/2	bark-sg.dat	epaape
fang souanke A75	bark-sg.dat	ekop
fang ntumu A75	bark-sg.dat	evin
bekwil A85b	bark-sg.dat	pèk
kwel A85b	bark-sg.dat	kot
kwele A85b	bark-sg.dat	mikaĠal
mpongwe B11a	bark-sg.dat	mbèi
galwa B11c/1	bark-sg.dat	mpambo
galwa B11c/2	bark-sg.dat	kowo__yierere
nkomi B11e	bark-sg.dat	kɔmbɔ
sekiyani B21	bark-sg.dat	yoombu
ngom kele B22b	bark-sg.dat	ayikuè
wumbvu B24/1	bark-sg.dat	dʒipaalu
wumbvu B24/2	bark-sg.dat	dʒipaalu
kota B25/1	bark-sg.dat	epaʒi
kota B25/2	bark-sg.dat	epaʒi
kota B25/4	bark-sg.dat	ebayi
kota B25/5	bark-sg.dat	ipiyo
sake B252/1	bark-sg.dat	yiri
mahongwe B251/1	bark-sg.dat	ipiyu
ndasa B241/1	bark-sg.dat	ipaalu
ndasa B241/2	bark-sg.dat	ipaalu
mahongwe sama B251/2	bark-sg.dat	ipiyu
tsogo B31	bark-sg.dat	weko
himba B312	bark-sg.dat	nodyeeko
ibongo  B401	bark-sg.dat	dikuku
pinzi B311	bark-sg.dat	nodyeko
pove B22c (B305)	bark-sg.dat	esoŋɡo
shira B41	bark-sg.dat	lubaalu
shira bwali B41	bark-sg.dat	dusuɡu
sangu B42/1	bark-sg.dat	disunɡu
sangu B42/2	bark-sg.dat	disuŋɡu
punu B43/1	bark-sg.dat	dikuku
punu B43/2	bark-sg.dat	dikuku
lumbu yi tandu B44	bark-sg.dat	dul∂
lumbu yi banda B44	bark-sg.dat	dikuku
Lumbu 4 B44	bark-sg.dat	dubali_̪u_̻wiri
bwisi B410	bark-sg.dat	dikuku
varama B414/1	bark-sg.dat	dusunɡu
varama B414/2	bark-sg.dat	đusuŋɡu
vungu B431/1 (Nasse)	bark-sg.dat	bab∂
vungu B431/2 (1986)	bark-sg.dat	dukuku
duma B51	bark-sg.dat	lipalu
nzebi B52/1	bark-sg.dat	l∂suuŋɡu
nzebi B52/2	bark-sg.dat	lèsuunɡu
tsaangi B53	bark-sg.dat	isuunɡu
liwanji B511	bark-sg.dat	isuuŋɡu
(o)mbamba B62/1 (1973)	bark-sg.dat	obu
(o)mbamba B62/2 (1986)	bark-sg.dat	obayi
(o)mbamba B62/3 (1989)	bark-sg.dat	Ġèpali
nduumo B63/1	bark-sg.dat	ɡipali
nduumo B63/2	bark-sg.dat	ɡipali
kaningi B631	bark-sg.dat	opali
teke Boundji B70	bark-sg.dat	kepa_̰oti
teke Omvula B70	bark-sg.dat	epa
teke komono B70	bark-sg.dat	kesuu
teke kaleiB70	bark-sg.dat	kepa
teke tsaayi B73a/1 (Bouka)	bark-sg.dat	kibu
teke tsaayi B73a/2 (Libele)	bark-sg.dat	isuu
benga A34/1	belly-pl.dat	maxuxu
benga A34/2	belly-pl.dat	maĠuuĠu
fang souanke A75	belly-pl.dat	m∂mu
bekwil A85b	belly-pl.dat	èmɔ
mpongwe B11a	belly-pl.dat	ambuwu
nkomi B11e	belly-pl.dat	ambumu
wumbvu B24/1	belly-pl.dat	myooyi
wumbvu B24/2	belly-pl.dat	myɔyi
kota B25/1	belly-pl.dat	myohi
kota B25/4	belly-pl.dat	myèhi
kota B25/5	belly-pl.dat	mjeyi
ndasa B241/1	belly-pl.dat	myɔ
ndasa B241/2	belly-pl.dat	myɔyi
tsogo B31	belly-pl.dat	mabui
himba B312	belly-pl.dat	mabuyi
ibongo  B401	belly-pl.dat	myooyi
pinzi B311	belly-pl.dat	mabuyi
pove B22c (B305)	belly-pl.dat	mabumu
shira B41	belly-pl.dat	bivumu
sangu B42/2	belly-pl.dat	mafumu
punu B43/1	belly-pl.dat	myoodʒi
lumbu B44	belly-pl.dat	bifumu
lumbu yi tandu B44	belly-pl.dat	bifumu
bwisi B410	belly-pl.dat	mafumu
nzebi B52/1	belly-pl.dat	myoyi
nzebi B52/2	belly-pl.dat	myooyi
tsaangi B53	belly-pl.dat	myooŅi
liwanji B511	belly-pl.dat	myɔyi
(o)mbamba B62/3 (1989)	belly-pl.dat	moi
teke tsaayi B73a/1 (Bouka)	belly-pl.dat	bamuɔyi
teke tsaayi B73a/2 (Libele)	belly-pl.dat	myèèyi
benga A34/1	belly-sg.dat	ixuxu
benga A34/2	belly-sg.dat	iĠuuĠu
fang souanke A75	belly-sg.dat	amu
fang meke A75	belly-sg.dat	abum
fang ntumu A75	belly-sg.dat	abum
bekwil A85b	belly-sg.dat	mɔ
kwel A85b	belly-sg.dat	mɔ
mpongwe B11a	belly-sg.dat	iwuwu
galwa B11c/1	belly-sg.dat	wumu
galwa B11c/2	belly-sg.dat	iwumu
nkomi B11e	belly-sg.dat	iwumu
sekiyani B21	belly-sg.dat	dibumu
ngom kele B22b	belly-sg.dat	mooyi
wumbvu B24/1	belly-sg.dat	mooyi
wumbvu B24/2	belly-sg.dat	mɔɔyi
kota B25/1	belly-sg.dat	mohi
kota B25/4	belly-sg.dat	mwèhi
kota B25/5	belly-sg.dat	mweyi
sake B252/2	belly-sg.dat	mɔŅu
mahongwe B251/1	belly-sg.dat	ooyi
ndasa B241/1	belly-sg.dat	mɔɔyi
