location	word	trs
aldomirovci, slivnica	0	jˈɑɡne
asparuhovo, lom	0	jˈɑɡnʲe
asparuhovo, prov	0	ˈɑɡni
babjak, razl	0	jˈɑɡne
bachkovo, asgr	0	jˈeɡnʲə
bagrenci, kjust	0	jˈɑɡne
balgari, carev	0	jˈɑɡne
banishte, brezn	0	jˈɑɡne
bansko, razl	0	jˈɑɡne
beglezh, luk	0	ˈɑɡne
belene, svisht	0	jˈɑɡne
belica, razl	0	jˈɑɡne
bistrica, blgr	0	jˈɑɡne
bogdanov dol, pern	0	jˈɑɡne
borisovo, elh	0	ˈɑɡni
bov, svog	0	jˈɑɡne
brashljan, mtarn	0	jˈɛɡne
buchin prohod, god	0	jˈɑɡne
caparevo, sand	0	jˈɑɡne
cerovica, kjust	0	jˈɑɡne
chepelare, asgr	0	jˈɛɡne
chernogorovo, paz	0	ˈeɡne
chernomorec, bs	0	jˈeɡni
chukovec, radom	0	jˈɑɡne
dermanci, luk	0	jˈɑɡne
devenci, luk	0	jˈɑɡne
devesilica, krgr	0	ˈɛɡne
dichin, vtarn	0	ˈɑɡni
dinevo, hask	0	jˈeɡnʲə
diva slatina, mont	0	jˈɑɡnʲe
divdjadovo, shum	0	ˈɑɡni
dobarsko, razl	0	jˈɑɡne
dobroselec, topgr	0	ˈɑɡni
dobroslavci, sof	0	jˈɑɡne
dobrotino, gd	0	jˈɑɡne
dolna beshovica, vrach	0	jˈɑɡne
dolna dikanja, radom	0	jˈɑɡne
dolna melna, tran	0	jˈɑɡnʲe
dolna riksa, mont	0	jˈɑɡne
dolna srudena, bel	0	ˈɑɡni
dolni bogrov, sof	0	jˈɑɡne
dolno levski, pan	0	ˈeɡne
dorkovo, velgr	0	ˈeɡnʲə
drabishna, ivgr	0	jˈɛɡne
dragizhevo, vtarn	0	ˈɑɡni
dragodanovo, sliv	0	ˈɑɡni
dragoevo, presl	0	ˈɑɡnʲə
dragojchinci, kjust	0	jˈɑɟnʲe
elov dol, pk	0	jˈɑɡne
enina, kaz	0	ˈɑɡni
ezerovo, parvom	0	jˈeɡnʲɤ
furen, vrach	0	jˈɑɡne
gabare, bslat	0	jˈɑɡne
gabra, elpel	0	jˈɑɡne
galata, tetev	0	ˈɑɡne
ganchovec, drjan	0	ˈɑɡni
garmen, gd	0	jˈɑɡne
garvan, sil	0	ˈɑɡni
gega, petr	0	jˈɑɡne
glozhene, orjah	0	jˈɑɡne
golema rakovica, elpel	0	jˈɑɡne
golemo malovo, sliven	0	jˈɑɡne
golica, varn	0	ˈɒɡni
goljama zheljazna, tetev	0	ˈɑɡne
goljamo shivachevo, sliv	0	ˈɑɡni
gorna rosica, sevl	0	ˈɑɡni
gorni varpishta, drjan	0	ˈɑɡni
govedarci, sam	0	jˈɑɡne
gradec, vd	0	jˈɑɡne
huhla, ivgr	0	jˈɛɡne
hvojna, asgr	0	jˈɑɡne
indzhe vojvoda, mtarn	0	jˈɛɡne
ivanski, shum	0	ˈɑɡni
izvorovo, harm	0	jˈɑɡni
javorovo, asgr	0	jˈɑɡne
kalipetrovo, sil	0	ˈɑɡni
kalojanovo, plov	0	jˈɑɡni
karaisen, pavl	0	ˈɑɡni
karanovo, ajt	0	ˈɑɡni
kaspichan, np	0	ˈɑɡnʲə
kolju marinovo, chirp	0	jˈeɡne
konska, brezn	0	jˈɑɡne
kopilovci, mont	0	jˈɑɡne
koprivshtica, pird	0	ˈɑɡne
korten, nzag	0	ˈɑɡni
kostenec, iht	0	jˈɑɡne
kovachevci, sam	0	jɑɡnˈe
kozichino, pom	0	ˈɒɡni
kramolin, sevl	0	ˈɑɡni
kravenik, sevl	0	ˈɑɡni
kreta, vrach	0	jˈɑɡne
krivnja, razgr	0	ˈɑɡne
levunovo, sand	0	jˈɑɡne
liljache, vr	0	jˈɑɡne
lipnica, botgr	0	jˈɑɡne
ljubenova mahala, nzag	0	ˈɑɡni
lobosh, rad	0	jˈɑɡne
lozen, sof	0	jˈɑɡne
malomirovo, elh	0	ˈɑɡni
marchaevo, sof	0	jˈɑɡnʲe
marikostinovo, petr	0	jˈɑɡne
markovo, shum	0	ˈɑɡni
merdanja, vtarn	0	ˈɑɡni
merichleri, chirp	0	jˈɑɡnʲə
mihalci, pavl	0	ˈɑɡni
milchina laka, kul	0	jˈɑɡne
momchilovci, smol	0	ˈɛɡne
momina banja, pl	0	jˈɑɡni
momina klisura, pz	0	jˈɑɡne
momkovo, svgr	0	jˈɑɡni
mugla, dev	0	jˈɛɡne
nikolovo(lipnik), rus	0	ˈɑɡni
nikolovo, hask	0	jˈeɡne
noevci, brezn	0	jˈɑɡne
nova lovcha, gd	0	jˈɑɡne
nova nadezhda, hs	0	jˈɑɟnʲə
novo selo, trojan	0	ˈɑɡni
ognen, karn	0	ˈɑɡni
omarchevo, nzag	0	ˈɑɡni
opan, stzag	0	jˈeɡni
osenec, razgr	0	ˈɑɡni
panagjurishte, gd	0	ˈeɡne
paskalevec, pavl	0	ˈɑɡni
pavelsko, asgr	0	jˈɑɡne
pelatikovo, kjust	0	jˈɑɡne
petarnica, plev	0	jˈɑɡne
pevec, targ	0	ˈɑɡni
plakovo, vt	0	ˈɑɡni
podvis, karn	0	jˈɑɡni
pozharevo, tutr	0	ˈɑɡni
rabisha, belgr	0	jˈɑɡnʲe
radovene, vr	0	jˈɑɡne
rakevo, vr	0	jˈɑɡne
rakovica, kul	0	jˈɑɡne
rani lug, tryn	0	jˈɑɡnʲe
razboishte, god	0	jˈɑɡne
ruzhinci, belgr	0	jˈɑɡnʲe
sadina, pop	0	ˈɑɡni
saparevo, dup	0	jˈɑɡne
sekirovo, plov	0	jˈɑɡni
