location	word	transcription
Appelscha	aan	a
Appelscha	agent	plisi
Appelscha	als	əs
Appelscha	beiden	
Appelscha	besluit	bəslyt
Appelscha	bij	bɛi
Appelscha	buiten	bytn
Appelscha	daar	də
Appelscha	dan_1	dæn
Appelscha	dat	dæ
Appelscha	de_12	də
Appelscha	door	dʏr
Appelscha	een_count	ein
Appelscha	een_det	ən
Appelscha	er	ər
Appelscha	even	ebm
Appelscha	extra	
Appelscha	gerinkel	
Appelscha	glas	
Appelscha	glaszetter_1	xlæzənsɛtər
Appelscha	goed	xut
Appelscha	gooien	xɒin
Appelscha	he	hei
Appelscha	heel	hɪl
Appelscha	hem	
Appelscha	het	hɛd
Appelscha	hij_2	i
Appelscha	hoek	hukə
Appelscha	houden	hɒdn
Appelscha	huizen	hysn
Appelscha	in	ɪn
Appelscha	ineens	ɪnɪs
Appelscha	is	ɪs
Appelscha	jongetje_2	jɒxi
Appelscha	juist	jyst
Appelscha	klein	klɛin
Appelscha	klinkt	
Appelscha	korte	kɒrtə
Appelscha	krijgen	
Appelscha	later	lætər
Appelscha	let	kikt
Appelscha	loopt_1	lœp
Appelscha	lopen	
Appelscha	lukt	
Appelscha	maar_3	
Appelscha	met_1	mɛt
Appelscha	mevrouw	frau
Appelscha	naar	nɛ
Appelscha	net	nɛt
Appelscha	niet	nit
Appelscha	nou	nʌ
Appelscha	nu	
Appelscha	of	ɒf
Appelscha	om	ɔm
Appelscha	ontdaan	ɔndʌn
Appelscha	ook	ok
Appelscha	op	ɔp
Appelscha	pakken	pakŋ
Appelscha	politieagent	plitsi
Appelscha	repareren	mækŋ
Appelscha	ruit	rytə
Appelscha	ruiten	rytn
Appelscha	samen	sæmm
Appelscha	sneuvelen	snøfələ
Appelscha	staan	
Appelscha	stapt	kʌmt
Appelscha	steen	stinə
Appelscha	stil	stɪl
Appelscha	straat	strʌtə
Appelscha	straten	strʌtn
Appelscha	te_1	tə
Appelscha	tijd	tit
Appelscha	toevallig	tufaləx
Appelscha	van_2	fan
Appelscha	veel	fʌl
Appelscha	vraagt	frʌxt
Appelscha	vrouw	frau
Appelscha	wil_1	ʋɪl
Appelscha	ze_1	zə
Appelscha	ziet	sit
Axel	aan	ɑn
Axel	agent	pʊlisi
Axel	als	ɑt
Axel	beiden	ɑləbæi
Axel	besluit	bəslyt
Axel	bij	bi
Axel	buiten	bytn
Axel	daar	dʊ
Axel	dan_1	dɑ
Axel	dat	da
Axel	de_12	də
Axel	door	dʏr
Axel	een_count	ɪ
Axel	een_det	ən
Axel	er	dər
Axel	even	
Axel	extra	ɛkstrə
Axel	gerinkel	χəriŋkəl
Axel	glas	χlɑs
Axel	glaszetter_1	hlɑsætər
Axel	goed	
Axel	gooien	χʊin
Axel	he	e
Axel	heel	
Axel	hem	əm
Axel	het	t
Axel	hij_2	i
Axel	hoek	uk
Axel	houden	ɑun
Axel	huizen	ysn
Axel	in	ɛn
Axel	ineens	ɔpɪs
Axel	is	ɪs
Axel	jongetje_2	jɔŋəcə
Axel	juist	jyst
Axel	klein	klɛin
Axel	klinkt	
Axel	korte	kɒrtə
Axel	krijgen	krihən
Axel	later	dənɑ
Axel	let	læt
Axel	loopt_1	lopt
Axel	lopen	lopm
Axel	lukt	lʏkt
Axel	maar_3	mʌ
Axel	met_1	met
Axel	mevrouw	frɑuə
Axel	naar	nɑ
Axel	net	næt
Axel	niet	ni
Axel	nou	nʊ
Axel	nu	
Axel	of	ɒf
Axel	om	ɔm
Axel	ontdaan	ɪləmɒlfɑslaχ
Axel	ook	ʊk
Axel	op	ɔp
Axel	pakken	pɑkŋ
Axel	politieagent	pʊlitsi
Axel	repareren	mʌkŋ
Axel	ruit	ram
Axel	ruiten	ramm
Axel	samen	samm
Axel	sneuvelen	snøfəln
Axel	staan	
Axel	stapt	kɔmt
Axel	steen	stɪ
Axel	stil	stɪl
Axel	straat	strʌtə
Axel	straten	strʌtn
Axel	te_1	tə
Axel	tijd	tit
Axel	toevallig	tufɑləχ
Axel	van_2	fɑn
Axel	veel	fe
Axel	vraagt	frɑχt
Axel	vrouw	frɑuə
Axel	wil_1	wɪl
Axel	ze_1	zə
Axel	ziet	sit
