location	word	transcription
West-Terschelling	kippen	kipən
West-Terschelling	mijn	miŋ
West-Terschelling	vriend	kɑmərɑt
West-Terschelling	bloemen	blʊmə
West-Terschelling	spinnen	spɪnə
West-Terschelling	machines	məsinəsməʃinəs
West-Terschelling	werk	ʋɔrək
West-Terschelling	op	ʊp
West-Terschelling	schip	sxɪp
West-Terschelling	kregen	kreɣəkrɪɣə
West-Terschelling	beschimmeld	fəsxɪməltbəsxɪməlt
West-Terschelling	brood	broət
West-Terschelling	timmerman	tɪmərmɑn
West-Terschelling	splinter	splɪntər
West-Terschelling	vinger	fɪŋər
West-Terschelling	fabriek	fəbrik
West-Terschelling	vier	fjɔuwər
West-Terschelling	bier	biər
West-Terschelling	twee	twɑ
West-Terschelling	drie	treijə
West-Terschelling	hij	hɛi
West-Terschelling	knuppel	knʏpəlɛinhɔut
West-Terschelling	ik	ɪk
West-Terschelling	knie	knɪbəl
West-Terschelling	gezien	siən
West-Terschelling	ragebol	rɑɣəbɔl
West-Terschelling	pet	pɛt
West-Terschelling	paddestoel	pɑdəstuəl
West-Terschelling	kerel	mɑn
West-Terschelling	brede	bredəbrejə
West-Terschelling	stenen	stɪn
West-Terschelling	breder	bredər
West-Terschelling	breedste	brestə
West-Terschelling	standbeeld	stɔndbelt
West-Terschelling	duivel	dyvəl
West-Terschelling	gebleven	blɔun
West-Terschelling	meester	mestər
West-Terschelling	zee	se
West-Terschelling	graag	xrɑx
West-Terschelling	keelpijn	ətisikel
West-Terschelling	steel	stɛl
West-Terschelling	bezem	bizəm
West-Terschelling	neen	ne
West-Terschelling	geroepen	rɔft
West-Terschelling	peer	pɔər
West-Terschelling	rijp	rip
West-Terschelling	geld	jɪlt
West-Terschelling	ver	fiər
West-Terschelling	brengen	brɪŋə
West-Terschelling	vrouw	ʋif
West-Terschelling	zwemmen	swʊmə
West-Terschelling	sterk	stɛrk
West-Terschelling	bed	bɛət
West-Terschelling	optillen	ʊptɪlən
West-Terschelling	metselaar	
West-Terschelling	springen	sprɪŋə
West-Terschelling	boterham	
West-Terschelling	vader	tɔə
West-Terschelling	zes	sɛks
West-Terschelling	jaar	jiər
West-Terschelling	school	sxuəl
West-Terschelling	laten	lɪtn
West-Terschelling	gaan	xeə
West-Terschelling	water	ʋɛtər
West-Terschelling	potten	pɔtn
West-Terschelling	zijn	bɪn
West-Terschelling	veel	fʊlə
West-Terschelling	maart	mɑət
West-Terschelling	nog	nɔx
West-Terschelling	koud	kɔət
West-Terschelling	kaars	kɛs
West-Terschelling	geeft	jʊxt
West-Terschelling	licht	jɛxt
West-Terschelling	paard	hois
West-Terschelling	tegen	tsjɪ
West-Terschelling	zwaluwen	swɑlywə
West-Terschelling	kaas	tsistsjis
West-Terschelling	motor	motər
West-Terschelling	dag	dɛi
West-Terschelling	avond	ioŋ
West-Terschelling	jongetje	jʊŋkjə
West-Terschelling	barst	bœst
West-Terschelling	brief	brif
West-Terschelling	hart	hɔit
West-Terschelling	spannen	spɔnə
West-Terschelling	nieuwe	nijə
West-Terschelling	kar	kɑrə
West-Terschelling	zoon	sɪn
West-Terschelling	koning	koənɪŋ
West-Terschelling	ook	eək
West-Terschelling	geweest	ʋɛn
West-Terschelling	rozen	roəzən
West-Terschelling	lange	lɑŋə
West-Terschelling	woord	ʋɔit
West-Terschelling	kindje	bɔn
West-Terschelling	was	ʋɑz
West-Terschelling	dochtertje	fɑmkədɔxtərtsə
West-Terschelling	bos	bʊs
West-Terschelling	ladder	leərt
West-Terschelling	mond	mylə
West-Terschelling	droog	drux
West-Terschelling	dorst	toəst
West-Terschelling	weg	ʋɛi
West-Terschelling	krom	
West-Terschelling	liedje	fɛsjə
West-Terschelling	goed	xuət
West-Terschelling	kelder	kɛldər
West-Terschelling	voor	fuɑr
West-Terschelling	moest	mɔs
West-Terschelling	ossenbloed	ɔsəbluət
West-Terschelling	drinken	drɪŋkə
West-Terschelling	broer	bruər
West-Terschelling	moe	muət
West-Terschelling	karnemelk	supkɑrnəmoələk
West-Terschelling	dun	tɪn
West-Terschelling	zuur	sur
West-Terschelling	put	pʏt
West-Terschelling	uur	ur
West-Terschelling	Italië	itɑljə
West-Terschelling	bergen	bɑrɣən
West-Terschelling	vuur	fjur
West-Terschelling	spuwen	spiən
West-Terschelling	duwen	drʏkən
West-Terschelling	hebben	hɑbə
West-Terschelling	stuk	stɪk
West-Terschelling	brug	brʏx
West-Terschelling	veulen	fɔltsə
West-Terschelling	komen	kʊmə
West-Terschelling	deur	doər
West-Terschelling	naaien	nɑijə
West-Terschelling	gras	xɛs
West-Terschelling	brouwer	brɔuwər
West-Terschelling	bakken	bɑkə
West-Terschelling	je	do
West-Terschelling	eieren	ɑəjən
West-Terschelling	krijgen	krijə
West-Terschelling	markt	mɑrəkmɑrəkt
West-Terschelling	waren	wɑrə
West-Terschelling	vijf	fif
West-Terschelling	eikels	ɛikəls
West-Terschelling	hooi	heə
West-Terschelling	is	ɪz
West-Terschelling	groen	xriən
West-Terschelling	boompje	bomkə
West-Terschelling	wijn	ʋin
West-Terschelling	huis	hys
West-Terschelling	melk	mʊələk
West-Terschelling	spuit	spœit
West-Terschelling	koe	ku
West-Terschelling	koster	kɔstər
West-Terschelling	kruiwagen	krødʋɛin
West-Terschelling	buigen	buɣə
West-Terschelling	Duitsers	dytsərs
West-Terschelling	blauw	blɑu
West-Terschelling	geslagen	slɛin
West-Terschelling	saus	sjy
West-Terschelling	flauw	
West-Terschelling	sneeuw	sne
West-Terschelling	stad	stɑt
West-Terschelling	doen	dweən
West-Terschelling	dopen	dopə
West-Terschelling	doopvont	dopfʊnt
West-Terschelling	soldaten	sɔldɑtən
West-Terschelling	dorsen	tɛskjə
West-Terschelling	binden	binə
West-Terschelling	gebonden	boŋ
Oost-Vlieland	kippen	kɪpə
Oost-Vlieland	mijn	mə
Oost-Vlieland	vriend	vrɪnt
Oost-Vlieland	bloemen	blumə
Oost-Vlieland	spinnen	spɪnə
Oost-Vlieland	machines	məsinəs
Oost-Vlieland	werk	ʋɛrək
Oost-Vlieland	op	ʊp
Oost-Vlieland	schip	skɪp
Oost-Vlieland	kregen	kreɣə
Oost-Vlieland	beschimmeld	bəskɪməlt
Oost-Vlieland	brood	brʊət
Oost-Vlieland	timmerman	tɪmərmɑn
Oost-Vlieland	splinter	splɪntər
Oost-Vlieland	vinger	fɪŋər
Oost-Vlieland	fabriek	fəbrik
Oost-Vlieland	vier	fir
Oost-Vlieland	bier	bir
Oost-Vlieland	twee	tʋi
Oost-Vlieland	drie	dri
Oost-Vlieland	hij	ɛi
Oost-Vlieland	knuppel	knʏpəl
Oost-Vlieland	ik	k
Oost-Vlieland	knie	kni
Oost-Vlieland	gezien	sin
Oost-Vlieland	ragebol	raɣəbɔl
Oost-Vlieland	pet	pɛt
Oost-Vlieland	paddestoel	pʊdəstulpɑdəstul
Oost-Vlieland	kerel	kɪrəlfɛnt
Oost-Vlieland	brede	brejə
Oost-Vlieland	stenen	stində
Oost-Vlieland	breder	brejər
Oost-Vlieland	breedste	bretstə
Oost-Vlieland	standbeeld	stɑndbelt
Oost-Vlieland	duivel	
Oost-Vlieland	gebleven	blevə
Oost-Vlieland	meester	mestər
Oost-Vlieland	zee	se
Oost-Vlieland	graag	ɣrax
Oost-Vlieland	keelpijn	kelpin
Oost-Vlieland	steel	stel
Oost-Vlieland	bezem	bezəm
Oost-Vlieland	neen	nei
Oost-Vlieland	geroepen	rupə
Oost-Vlieland	peer	pɪr
Oost-Vlieland	rijp	rip
Oost-Vlieland	geld	ɣɛlt
Oost-Vlieland	ver	fɛr
Oost-Vlieland	brengen	brɛŋə
Oost-Vlieland	vrouw	frɔu
Oost-Vlieland	zwemmen	sʋɛmə
Oost-Vlieland	sterk	stɛrək
Oost-Vlieland	bed	bɛd
Oost-Vlieland	optillen	ʊptɪlə
Oost-Vlieland	metselaar	mɛtsəlar
Oost-Vlieland	springen	sprɪŋə
Oost-Vlieland	boterham	brʊət
Oost-Vlieland	vader	fadər
Oost-Vlieland	zes	sɛs
Oost-Vlieland	jaar	jar
Oost-Vlieland	school	skol
Oost-Vlieland	laten	latə
Oost-Vlieland	gaan	ɣan
Oost-Vlieland	water	ʋatər
Oost-Vlieland	potten	pɔtə
Oost-Vlieland	zijn	bɛn
Oost-Vlieland	veel	fel
Oost-Vlieland	maart	mart
Oost-Vlieland	nog	nɔx
Oost-Vlieland	koud	kɔut
Oost-Vlieland	kaars	kɪrs
Oost-Vlieland	geeft	xeft
Oost-Vlieland	licht	lɪxt
Oost-Vlieland	paard	pɪrt
Oost-Vlieland	tegen	teɣə
Oost-Vlieland	zwaluwen	sʋaləʋə
Oost-Vlieland	kaas	kes
Oost-Vlieland	motor	motər
Oost-Vlieland	dag	dɑx
Oost-Vlieland	avond	eivən
Oost-Vlieland	jongetje	jʊŋətjə
Oost-Vlieland	barst	bɑrstskʏr
Oost-Vlieland	brief	brif
Oost-Vlieland	hart	ɑrt
Oost-Vlieland	spannen	spɑnə
Oost-Vlieland	nieuwe	nyʋə
Oost-Vlieland	kar	kɑr
Oost-Vlieland	zoon	soun
Oost-Vlieland	koning	konəŋ
Oost-Vlieland	ook	ʊk
Oost-Vlieland	geweest	ʋest
Oost-Vlieland	rozen	rouzə
Oost-Vlieland	lange	lɑŋə
Oost-Vlieland	woord	ʋʊrt
Oost-Vlieland	kindje	kind
Oost-Vlieland	was	ʋɑs
Oost-Vlieland	dochtertje	kint
Oost-Vlieland	bos	bʊs
Oost-Vlieland	ladder	lɑdər
Oost-Vlieland	mond	mʊnt
Oost-Vlieland	droog	droux
Oost-Vlieland	dorst	dɔrst
Oost-Vlieland	weg	ʋɛx
Oost-Vlieland	krom	krʊm
Oost-Vlieland	liedje	litjə
Oost-Vlieland	goed	xut
Oost-Vlieland	kelder	kɛldər
Oost-Vlieland	voor	fʊr
Oost-Vlieland	moest	
Oost-Vlieland	ossenbloed	ɔsəblud
Oost-Vlieland	drinken	drɪŋkə
Oost-Vlieland	broer	brur
Oost-Vlieland	moe	muət
Oost-Vlieland	karnemelk	kɑrəmɛlək
Oost-Vlieland	dun	dʏn
Oost-Vlieland	zuur	syr
Oost-Vlieland	put	pʏt
Oost-Vlieland	uur	yr
Oost-Vlieland	Italië	italiə
Oost-Vlieland	bergen	bɛrəɣə
Oost-Vlieland	vuur	fyr
Oost-Vlieland	spuwen	spyɣə
Oost-Vlieland	duwen	dɔuʋə
Oost-Vlieland	hebben	ɛbə
Oost-Vlieland	stuk	stʏk
Oost-Vlieland	brug	brʏx
Oost-Vlieland	veulen	følə
Oost-Vlieland	komen	kʊmə
Oost-Vlieland	deur	dʏr
Oost-Vlieland	naaien	najə
Oost-Vlieland	gras	ɣrɑs
Oost-Vlieland	brouwer	brɔuʋər
Oost-Vlieland	bakken	bɑkə
Oost-Vlieland	je	jə
Oost-Vlieland	eieren	ɛijərs
Oost-Vlieland	krijgen	kriɣə
Oost-Vlieland	markt	mɑrəkt
Oost-Vlieland	waren	ʋarə
Oost-Vlieland	vijf	vɛif
Oost-Vlieland	eikels	ɛikəls
Oost-Vlieland	hooi	oj
Oost-Vlieland	is	ɪs
Oost-Vlieland	groen	ɣrun
Oost-Vlieland	boompje	bompjə
Oost-Vlieland	wijn	ʋin
Oost-Vlieland	huis	ys
Oost-Vlieland	melk	mɛlək
Oost-Vlieland	spuit	spœyt
Oost-Vlieland	koe	ku
Oost-Vlieland	koster	kɔstər
Oost-Vlieland	kruiwagen	krœyʋaɣə
Oost-Vlieland	buigen	byɣə
Oost-Vlieland	Duitsers	dytsərs
Oost-Vlieland	blauw	blɔuʋ
Oost-Vlieland	geslagen	slaɣə
Oost-Vlieland	saus	ʃydop
Oost-Vlieland	flauw	flɪuʋ
Oost-Vlieland	sneeuw	snyʋ
Oost-Vlieland	stad	stɑt
Oost-Vlieland	doen	dun
Oost-Vlieland	dopen	dopə
Oost-Vlieland	doopvont	dopskal
Oost-Vlieland	soldaten	sɔldatə
Oost-Vlieland	dorsen	dɔrsə
Oost-Vlieland	binden	bɪndə
Oost-Vlieland	gebonden	bundə
Den Burg	kippen	kɪpə
Den Burg	mijn	min
Den Burg	vriend	vrɪnt
Den Burg	bloemen	blʊmə
Den Burg	spinnen	spɪnə
Den Burg	machines	məsinəs
Den Burg	werk	ʋɛrək
Den Burg	op	ʊp
Den Burg	schip	skɪp
Den Burg	kregen	kreɣə
Den Burg	beschimmeld	bəskɪməlt
Den Burg	brood	brʊət
Den Burg	timmerman	tɪmərmɑn
Den Burg	splinter	splɪntər
Den Burg	vinger	fɪŋər
Den Burg	fabriek	fɑbrik
Den Burg	vier	fir
Den Burg	bier	bir
Den Burg	twee	tʋi
Den Burg	drie	dri
Den Burg	hij	he
Den Burg	knuppel	knʏpəl
Den Burg	ik	ɪk
Den Burg	knie	kni
Den Burg	gezien	siən
Den Burg	ragebol	raɣəbɔl
Den Burg	pet	pɛt
Den Burg	paddestoel	pɑdəstul
Den Burg	kerel	kɪrəl
Den Burg	brede	brɪədə
Den Burg	stenen	stiənə
Den Burg	breder	brɪədər
Den Burg	breedste	brɪəstə
Den Burg	standbeeld	stɑmbelt
Den Burg	duivel	lysifɛr
Den Burg	gebleven	blefə
Den Burg	meester	mestər
Den Burg	zee	sej
