location	word	trs
100 Caprese Michelangelo	abete_IPA	 abete
101 Pieve Santo Stefano	abete_IPA	 abete
102 Anghiari	abete_IPA	 abete
103 Sansepolcro	abete_IPA	 abete
104 Badia Tedalda	abete_IPA	 abete
106 Antignano	abete_IPA	 aβeθe
107 Rosignano Marittimo	abete_IPA	 abeθe
108 Cecina	abete_IPA	 abeθe
109 Orciano Pisano	abete_IPA	 aβeθe
11 Arni	abete_IPA	 aβete
110 Bibbona	abete_IPA	 abete
111 Riparbella	abete_IPA	 abeθe
112 Chianni	abete_IPA	 abeθe
113 Querceto	abete_IPA	 abeθe
114 Laiatico	abete_IPA	 abeθe
115 Montecatini Val di Cecina	abete_IPA	 aβeθe
116 Volterra	abete_IPA	 abeθe
117 Pomarance	abete_IPA	 abeθe
118 Iano	abete_IPA	 abeθe
119 Castel San Gimignano	abete_IPA	 abeθe
12 Vagli di Sotto	abete_IPA	 abete
120 San Gimignano	abete_IPA	 abeθe
121 Mensano	abete_IPA	 abeθe
122 Colle Val d'Elsa	abete_IPA	 abeθe
123 Maggiano	abete_IPA	 abeθe
124 Ancaiano	abete_IPA	 abeθe
125 Costalpino	abete_IPA	 abeθe
126 Fonterutoli	abete_IPA	 aβeθe
127 Quercegrossa	abete_IPA	 abeθe
128 Radda in Chianti	abete_IPA	 aβeθe
129 Nusenna	abete_IPA	 abeθe
130 Torre a Castello	abete_IPA	 abeθe
131 Ambra	abete_IPA	 abeθe
132 Pergine Valdarno	abete_IPA	 abeθe
133 Monte San Savino	abete_IPA	 abete
134 Civitella in Val di Chiana	abete_IPA	 abete
135 Olmo	abete_IPA	 abete
136 Brolio	abete_IPA	 abete
137 Castiglion Fiorentino	abete_IPA	 abete
138 Palazzo del Pero	abete_IPA	 abete
14 Camporgiano	abete_IPA	 abete
140 Monterchi	abete_IPA	 abete
141 Capraia	abete_IPA	 abete
142 San Vincenzo	abete_IPA	 abete
144 Castagneto Carducci	abete_IPA	 abete
145 Bolgheri	abete_IPA	 abete
146 Suvereto	abete_IPA	 abeθe
147 Monteverdi Marittimo	abete_IPA	 abeθe
148 Serrazzano	abete_IPA	 abeθe
149 Monterotondo Marittimo	abete_IPA	 abeθe
15 Vergemoli	abete_IPA	 abete
150 Massa Marittima	abete_IPA	 abeθe
151 Castelnuovo in Val di Cecina	abete_IPA	 abeθe
152 Montecastelli Pisano	abete_IPA	 abeθe
153 Montieri	abete_IPA	 abeθe
154 Frosini	abete_IPA	 abeθe
155 Torniella	abete_IPA	 abete
156 Monticiano	abete_IPA	 abete
157 San Rocco a Pilli	abete_IPA	 abeθe
158 Pari	abete_IPA	 abeθe
159 Casciano di Murlo	abete_IPA	 aβeθe
16 Pieve Fosciana	abete_IPA	 abete
160 Monteroni d'Arbia	abete_IPA	 abeθe
161 Ponte d'Arbia	abete_IPA	 abeθe
162 Montalcino	abete_IPA	 abete
163 Chiusure d'Asciano	abete_IPA	 abeθe
164 Asciano	abete_IPA	 abeθe
165 San Quirico d'Orcia	abete_IPA	 abete
166 Castelmuzio	abete_IPA	 abeθe
169 Torrita Stazione	abete_IPA	 abeθe
17 Barga	abete_IPA	 abete
170 Montepulciano	abete_IPA	 abete
171 Foiano della Chiana	abete_IPA	 abete
172 Valiano	abete_IPA	 abete
173 Montallese	abete_IPA	 abete
174 Cortona	abete_IPA	 abete
175 Terontola	abete_IPA	 abete
177 Marciana	abete_IPA	 abeθe
178 Procchio	abete_IPA	 abete
179 Portoferraio	abete_IPA	 abete
18 San Pellegrino in Alpe	abete_IPA	 abete
180 Rio nell'Elba	abete_IPA	 abete
181 Piombino	abete_IPA	 abete
182 Riotorto	abete_IPA	 abete
183 Scarlino	abete_IPA	 abete
184 Buriano	abete_IPA	 abeθe
187 Batignano	abete_IPA	 abeθe
189 Campagnatico	abete_IPA	 abeθe
19 Brandeglio	abete_IPA	 abeθe
190 Civitella Marittima	abete_IPA	 abeθe
191 Sasso d'Ombrone	abete_IPA	 abete
192 Camigliano	abete_IPA	 abeθe
194 Seggiano	abete_IPA	 abete
195 Santa Fiora	abete_IPA	 abete
196 Castiglion d'Orcia	abete_IPA	 abeθe
197 Campiglia d'Orcia	abete_IPA	 abete
198 Piancastagnaio	abete_IPA	 abːete
199 Contignano	abete_IPA	 abeθe
200 Celle sul Rigo	abete_IPA	 abete
201 Cetona	abete_IPA	 abete
202 Pomonte	abete_IPA	 aβete
203 La Pila	abete_IPA	 abede
204 Capoliveri	abete_IPA	 abete
205 Castiglion della Pescaia	abete_IPA	 abeθe
206 Alberese	abete_IPA	 abete
207 Talamone	abete_IPA	 abete
208 Istia d'Ombrone	abete_IPA	 abete
209 Montiano	abete_IPA	 abeθe
21 Popiglio	abete_IPA	 aβeθe
210 Magliano in Toscana	abete_IPA	 abeθe
211 Montorgiali	abete_IPA	 abete
212 Pereta	abete_IPA	 abete
213 Cana	abete_IPA	 abete
214 Saturnia	abete_IPA	 abete
215 Manciano	abete_IPA	 abeθe
216 Semproniano	abete_IPA	 abete
217 Selvena	abete_IPA	 abete
218 Pitigliano	abete_IPA	 abeθe
220 Castell'Ottieri	abete_IPA	 aβete
221 Giglio Castello	abete_IPA	 abete
222 Porto Santo Stefano	abete_IPA	 abete
223 Orbetello	abete_IPA	 abete
224 Capalbio	abete_IPA	 abete
225 Italiano	abete_IPA	 abete
26 Treppio	abete_IPA	 abete
27 Mercatale di Vernio	abete_IPA	 abete
29 Firenzuola	abete_IPA	 abeθe
30 Ronta	abete_IPA	 abeθe
33 Pietrasanta	abete_IPA	 abete
35 Vecchiano	abete_IPA	 abete
36 Piazzano	abete_IPA	 aβete
37 Pescaglia	abete_IPA	 abete
38 Vorno	abete_IPA	 abete
39 Anchiano	abete_IPA	 aβete
40 Marlia	abete_IPA	 aβete
41 Porcari	abete_IPA	 aβeθe
43 Staffoli	abete_IPA	 abeθe
44 Chiesina Uzzanese	abete_IPA	 aβeθe
45 Pontito	abete_IPA	 abete
47 Monsummano	abete_IPA	 aβeθe
49 Gello	abete_IPA	 abeθe
51 Montale	abete_IPA	 aβeθe
52 Artimino	abete_IPA	 aβeθe
53 San Giusto in Piazzanese	abete_IPA	 aβeθe
54 Figline di Prato	abete_IPA	 abeθe
55 Peretola	abete_IPA	 aβeθe
56 Legri	abete_IPA	 aβeθe
57 Vaglia	abete_IPA	 abeθe
58 Molin del Piano	abete_IPA	 aβeθe
59 Vicchio	abete_IPA	 abeθe
60 Rufina	abete_IPA	 aβeθe
61 Tosi	abete_IPA	 abeθe
64 Stia	abete_IPA	 abete
67 Ca' Raffaello	abete_IPA	 abet
68 Marina di Pisa	abete_IPA	 abeθe
69 Mortaiolo	abete_IPA	 abeθe
7 Sillano	abete_IPA	 abete
70 Putignano	abete_IPA	 abete
71 Fauglia	abete_IPA	 abete
72 Buti	abete_IPA	 abete
73 Pontedera	abete_IPA	 abeθe
74 Santo Pietro in Belvedere	abete_IPA	 abeθe
75 Palaia	abete_IPA	 aβeθe
76 San Miniato Alto	abete_IPA	 abete
77 Castelfiorentino	abete_IPA	 aβeθe
78 Montelupo Fiorentino	abete_IPA	 aβeθe
79 Certaldo	abete_IPA	 abeθe
80 Montespertoli	abete_IPA	 aβeθe
81 Barberino Val d'Elsa	abete_IPA	 abeθe
82 Montefiridolfi	abete_IPA	 aβeθe
83 Pozzolatico	abete_IPA	 aβeθe
84 Greve in Chianti	abete_IPA	 aβeθe
85 San Donato in Collina	abete_IPA	 aβeθe
86 Incisa in Valdarno	abete_IPA	 aβeθe
87 Cavriglia	abete_IPA	 abeθe
89 Pian di Sco'	abete_IPA	 aβeθe
91 Loro Ciuffenna	abete_IPA	 aβeθe
92 Raggiolo	abete_IPA	 abete
93 Castiglion Fibocchi	abete_IPA	 abeθe
94 Talla	abete_IPA	 abete
95 Castel Focognano	abete_IPA	 abete
96 Campi di Bibbiena	abete_IPA	 abete
97 Ceciliano	abete_IPA	 abete
98 Subbiano	abete_IPA	 abete
99 Chiusi della Verna	abete_IPA	 abete
100 Caprese Michelangelo	abeto_IPA	 abeto
101 Pieve Santo Stefano	abeto_IPA	 abeto
102 Anghiari	abeto_IPA	 abeto
103 Sansepolcro	abeto_IPA	 abeto
104 Badia Tedalda	abeto_IPA	 abeto
107 Rosignano Marittimo	abeto_IPA	 abeθo
108 Cecina	abeto_IPA	 abeθo
